province,keyword,year,type,mean,max,sum
山东,财神,2011,all,118.9808219,886,43428
山东,财神,2011,pc,118.9808219,886,43428
山东,财神,2011,wise,0,0,0
山东,财神,2012,all,105.1284153,861,38477
山东,财神,2012,pc,105.1284153,861,38477
山东,财神,2012,wise,0,0,0
山东,财神,2013,all,173.0575342,2767,63166
山东,财神,2013,pc,97.57808219,840,35616
山东,财神,2013,wise,75.47945205,1927,27550
山东,财神,2014,all,277.3369863,4146,101228
山东,财神,2014,pc,89.55616438,681,32688
山东,财神,2014,wise,187.7808219,3465,68540
山东,财神,2015,all,256.1945205,2682,93511
山东,财神,2015,pc,78.9890411,316,28831
山东,财神,2015,wise,177.2054795,2404,64680
山东,财神,2016,all,257.5273224,4662,94255
山东,财神,2016,pc,73.7431694,568,26990
山东,财神,2016,wise,183.784153,4094,67265
山东,财神,2017,all,273.3150685,5916,99760
山东,财神,2017,pc,74.70136986,862,27266
山东,财神,2017,wise,198.6136986,5054,72494
山东,财神,2018,all,291.7726027,4250,106497
山东,财神,2018,pc,78.02465753,450,28479
山东,财神,2018,wise,213.7479452,3800,78018
山东,财神,2019,all,290.3205479,4925,105967
山东,财神,2019,pc,71.86575342,741,26231
山东,财神,2019,wise,218.4547945,4184,79736
山东,财神,2020,all,246.1420765,2635,90088
山东,财神,2020,pc,69.38251366,335,25394
山东,财神,2020,wise,176.7595628,2300,64694
山东,财神,2021,all,276.3315068,5063,100861
山东,财神,2021,pc,70.98082192,323,25908
山东,财神,2021,wise,205.3506849,4740,74953
山东,财神,2022,all,281.6794521,5080,102813
山东,财神,2022,pc,68.50136986,279,25003
山东,财神,2022,wise,213.1780822,4829,77810
山东,财神方位,2011,all,56.86849315,162,20757
山东,财神方位,2011,pc,56.86849315,162,20757
山东,财神方位,2011,wise,0,0,0
山东,财神方位,2012,all,52.57923497,133,19244
山东,财神方位,2012,pc,52.57923497,133,19244
山东,财神方位,2012,wise,0,0,0
山东,财神方位,2013,all,100.1123288,435,36541
山东,财神方位,2013,pc,49.0630137,142,17908
山东,财神方位,2013,wise,51.04931507,338,18633
山东,财神方位,2014,all,196.1863014,995,71608
山东,财神方位,2014,pc,37.59726027,129,13723
山东,财神方位,2014,wise,158.5890411,866,57885
山东,财神方位,2015,all,237.2191781,1083,86585
山东,财神方位,2015,pc,35.79726027,104,13066
山东,财神方位,2015,wise,201.4219178,979,73519
山东,财神方位,2016,all,255.5928962,1250,93547
山东,财神方位,2016,pc,18.72131148,78,6852
山东,财神方位,2016,wise,236.8715847,1189,86695
山东,财神方位,2017,all,320.3753425,2275,116937
山东,财神方位,2017,pc,26.51506849,76,9678
山东,财神方位,2017,wise,293.860274,2216,107259
山东,财神方位,2018,all,286.8383562,2498,104696
山东,财神方位,2018,pc,40.36986301,80,14735
山东,财神方位,2018,wise,246.4684932,2418,89961
山东,财神方位,2019,all,264.7013699,2411,96616
山东,财神方位,2019,pc,35.42739726,80,12931
山东,财神方位,2019,wise,229.2739726,2331,83685
山东,财神方位,2020,all,246.1639344,1684,90096
山东,财神方位,2020,pc,29.14480874,74,10667
山东,财神方位,2020,wise,217.0191257,1610,79429
山东,财神方位,2021,all,315.4739726,2585,115148
山东,财神方位,2021,pc,36.73972603,72,13410
山东,财神方位,2021,wise,278.7342466,2513,101738
山东,财神方位,2022,all,364.2931507,3097,132967
山东,财神方位,2022,pc,39.97534247,76,14591
山东,财神方位,2022,wise,324.3178082,3021,118376
山东,财神爷图片,2011,all,50.75890411,177,18527
山东,财神爷图片,2011,pc,50.75890411,177,18527
山东,财神爷图片,2011,wise,0,0,0
山东,财神爷图片,2012,all,52.70218579,165,19289
山东,财神爷图片,2012,pc,52.70218579,165,19289
山东,财神爷图片,2012,wise,0,0,0
山东,财神爷图片,2013,all,81.34794521,1000,29692
山东,财神爷图片,2013,pc,42.29589041,139,15438
山东,财神爷图片,2013,wise,39.05205479,861,14254
山东,财神爷图片,2014,all,148.3808219,1959,54159
山东,财神爷图片,2014,pc,35.04657534,112,12792
山东,财神爷图片,2014,wise,113.3342466,1847,41367
山东,财神爷图片,2015,all,249.9424658,6342,91229
山东,财神爷图片,2015,pc,24.38082192,87,8899
山东,财神爷图片,2015,wise,225.5616438,6255,82330
山东,财神爷图片,2016,all,285.773224,8219,104593
山东,财神爷图片,2016,pc,18.7568306,80,6865
山东,财神爷图片,2016,wise,267.0163934,8139,97728
山东,财神爷图片,2017,all,236.1589041,5378,86198
山东,财神爷图片,2017,pc,27.1369863,112,9905
山东,财神爷图片,2017,wise,209.0219178,5308,76293
山东,财神爷图片,2018,all,154.1178082,1566,56253
山东,财神爷图片,2018,pc,22.75616438,74,8306
山东,财神爷图片,2018,wise,131.3616438,1494,47947
山东,财神爷图片,2019,all,142.4547945,2817,51996
山东,财神爷图片,2019,pc,22.44109589,87,8191
山东,财神爷图片,2019,wise,120.0136986,2730,43805
山东,财神爷图片,2020,all,251.3852459,7440,92007
山东,财神爷图片,2020,pc,41.89617486,183,15334
山东,财神爷图片,2020,wise,209.489071,7257,76673
山东,财神爷图片,2021,all,385.6684932,9240,140769
山东,财神爷图片,2021,pc,53.86027397,142,19659
山东,财神爷图片,2021,wise,331.8082192,9098,121110
山东,财神爷图片,2022,all,413.8794521,7724,151066
山东,财神爷图片,2022,pc,57.74246575,116,21076
山东,财神爷图片,2022,wise,356.1369863,7608,129990
贵州,财神,2011,all,51.94520548,80,18960
贵州,财神,2011,pc,51.94520548,80,18960
贵州,财神,2011,wise,0,0,0
贵州,财神,2012,all,49.05464481,70,17954
贵州,财神,2012,pc,49.05464481,70,17954
贵州,财神,2012,wise,0,0,0
贵州,财神,2013,all,81.82465753,158,29866
贵州,财神,2013,pc,50.33424658,87,18372
贵州,财神,2013,wise,31.49041096,92,11494
贵州,财神,2014,all,114.5369863,412,41806
贵州,财神,2014,pc,45.69589041,93,16679
贵州,财神,2014,wise,68.84109589,340,25127
贵州,财神,2015,all,110.5150685,694,40338
贵州,财神,2015,pc,40.33972603,110,14724
贵州,财神,2015,wise,70.17534247,584,25614
贵州,财神,2016,all,107.6994536,761,39418
贵州,财神,2016,pc,36.52459016,70,13368
贵州,财神,2016,wise,71.17486339,691,26050
贵州,财神,2017,all,120.0246575,885,43809
贵州,财神,2017,pc,41.89589041,82,15292
贵州,财神,2017,wise,78.12876712,803,28517
贵州,财神,2018,all,131.3753425,715,47952
贵州,财神,2018,pc,44.03835616,85,16074
贵州,财神,2018,wise,87.3369863,630,31878
贵州,财神,2019,all,125.2054795,1014,45700
贵州,财神,2019,pc,37.06575342,89,13529
贵州,财神,2019,wise,88.13972603,925,32171
贵州,财神,2020,all,110.1338798,579,40309
贵州,财神,2020,pc,31.18306011,68,11413
贵州,财神,2020,wise,78.95081967,511,28896
贵州,财神,2021,all,118.1835616,1192,43137
贵州,财神,2021,pc,31.12054795,110,11359
贵州,财神,2021,wise,87.0630137,1082,31778
贵州,财神,2022,all,120.8383562,1134,44106
贵州,财神,2022,pc,33.11780822,82,12088
贵州,财神,2022,wise,87.72054795,1052,32018
贵州,财神方位,2011,all,13.94520548,63,5090
贵州,财神方位,2011,pc,13.94520548,63,5090
贵州,财神方位,2011,wise,0,0,0
贵州,财神方位,2012,all,9.43715847,63,3454
贵州,财神方位,2012,pc,9.43715847,63,3454
贵州,财神方位,2012,wise,0,0,0
贵州,财神方位,2013,all,40.95342466,126,14948
贵州,财神方位,2013,pc,13.12054795,66,4789
贵州,财神方位,2013,wise,27.83287671,76,10159
贵州,财神方位,2014,all,74.38082192,143,27149
贵州,财神方位,2014,pc,8.18630137,59,2988
贵州,财神方位,2014,wise,66.19452055,95,24161
贵州,财神方位,2015,all,86.86027397,165,31704
贵州,财神方位,2015,pc,5.197260274,59,1897
贵州,财神方位,2015,wise,81.6630137,148,29807
贵州,财神方位,2016,all,85.06284153,176,31133
贵州,财神方位,2016,pc,4.06010929,59,1486
贵州,财神方位,2016,wise,81.00273224,121,29647
贵州,财神方位,2017,all,93.99452055,175,34308
贵州,财神方位,2017,pc,5.030136986,63,1836
贵州,财神方位,2017,wise,88.96438356,160,32472
贵州,财神方位,2018,all,86.41917808,178,31543
贵州,财神方位,2018,pc,6.279452055,61,2292
贵州,财神方位,2018,wise,80.13972603,160,29251
贵州,财神方位,2019,all,89.3260274,182,32604
贵州,财神方位,2019,pc,6.191780822,74,2260
贵州,财神方位,2019,wise,83.13424658,179,30344
贵州,财神方位,2020,all,97.83060109,180,35806
贵州,财神方位,2020,pc,4.221311475,59,1545
贵州,财神方位,2020,wise,93.60928962,135,34261
贵州,财神方位,2021,all,130.139726,266,47501
贵州,财神方位,2021,pc,6.569863014,59,2398
贵州,财神方位,2021,wise,123.569863,255,45103
贵州,财神方位,2022,all,154.5369863,300,56406
贵州,财神方位,2022,pc,5.802739726,64,2118
贵州,财神方位,2022,wise,148.7342466,299,54288
贵州,财神爷图片,2011,all,6.298630137,64,2299
贵州,财神爷图片,2011,pc,6.298630137,64,2299
贵州,财神爷图片,2011,wise,0,0,0
贵州,财神爷图片,2012,all,8.464480874,63,3098
贵州,财神爷图片,2012,pc,8.464480874,63,3098
贵州,财神爷图片,2012,wise,0,0,0
贵州,财神爷图片,2013,all,22.44383562,126,8192
贵州,财神爷图片,2013,pc,6.284931507,61,2294
贵州,财神爷图片,2013,wise,16.15890411,78,5898
贵州,财神爷图片,2014,all,55.97808219,208,20432
贵州,财神爷图片,2014,pc,3.134246575,59,1144
贵州,财神爷图片,2014,wise,52.84383562,151,19288
贵州,财神爷图片,2015,all,83.02465753,570,30304
贵州,财神爷图片,2015,pc,3.764383562,61,1374
贵州,财神爷图片,2015,wise,79.26027397,570,28930
贵州,财神爷图片,2016,all,95.26502732,976,34867
贵州,财神爷图片,2016,pc,4.549180328,61,1665
贵州,财神爷图片,2016,wise,90.71584699,976,33202
