province,keyword,year,type,mean,max,sum,population
山东,财神,2011,all,0.012310483383341954,886,43428,9665.0
山东,财神,2011,pc,0.012310483383341954,886,43428,9665.0
山东,财神,2011,wise,0.0,0,0,9665.0
山东,财神,2012,all,0.01082904978368356,861,38477,9708.0
山东,财神,2012,pc,0.01082904978368356,861,38477,9708.0
山东,财神,2012,wise,0.0,0,0,9708.0
山东,财神,2013,all,0.017780492571663413,2767,63166,9733.0
山东,财神,2013,pc,0.01002548876913593,840,35616,9733.0
山东,财神,2013,wise,0.007755003806637214,1927,27550,9733.0
山东,财神,2014,all,0.028331493135151698,4146,101228,9789.0
山东,财神,2014,pc,0.009148653016651343,681,32688,9789.0
山东,财神,2014,wise,0.01918284011645725,3465,68540,9789.0
山东,财神,2015,all,0.026017520107647,2682,93511,9847.0
山东,财神,2015,pc,0.008021635127449984,316,28831,9847.0
山东,财神,2015,wise,0.01799588499035239,2404,64680,9847.0
山东,财神,2016,all,0.025889948969538553,4662,94255,9947.0
山东,财神,2016,pc,0.007413609068060722,568,26990,9947.0
山东,财神,2016,wise,0.01847633990147783,4094,67265,9947.0
山东,财神,2017,all,0.0273151177793324,5916,99760,10006.0
山东,财神,2017,pc,0.007465657591445133,862,27266,10006.0
山东,财神,2017,wise,0.019849460183889667,5054,72494,10006.0
山东,财神,2018,all,0.029040768657310638,4250,106497,10047.0
山东,财神,2018,pc,0.007765965714143525,450,28479,10047.0
山东,财神,2018,wise,0.021274802946153082,3800,78018,10047.0
山东,财神,2019,all,0.02882964187439984,4925,105967,10070.21
山东,财神,2019,pc,0.007136470184832293,741,26231,10070.21
山东,财神,2019,wise,0.021693171691553603,4184,79736,10070.21
山东,财神,2020,all,0.024243893570342987,2635,90088,10152.7453
山东,财神,2020,pc,0.006833867255588495,335,25394,10152.7453
山东,财神,2020,wise,0.01741002631081467,2300,64694,10152.7453
山东,财神,2021,all,0.027171266323762364,5063,100861,10169.99
山东,财神,2021,pc,0.006979438713312402,323,25908,10169.99
山东,财神,2021,wise,0.020191827612416533,4740,74953,10169.99
山东,财神,2022,all,0.027716744329067112,5080,102813,10162.79
山东,财神,2022,pc,0.0067404098539869456,279,25003,10162.79
山东,财神,2022,wise,0.02097633447114424,4829,77810,10162.79
山东,财神方位,2011,all,0.005883962043455768,162,20757,9665.0
山东,财神方位,2011,pc,0.005883962043455768,162,20757,9665.0
山东,财神方位,2011,wise,0.0,0,0,9665.0
山东,财神方位,2012,all,0.005416072823444582,133,19244,9708.0
山东,财神方位,2012,pc,0.005416072823444582,133,19244,9708.0
山东,财神方位,2012,wise,0.0,0,0,9708.0
山东,财神方位,2013,all,0.010285865488544129,435,36541,9733.0
山东,财神方位,2013,pc,0.005040893218945854,142,17908,9733.0
山东,财神方位,2013,wise,0.0052449722665159765,338,18633,9733.0
山东,财神方位,2014,all,0.02004150591480233,995,71608,9789.0
山东,财神方位,2014,pc,0.0038407661936867912,129,13723,9789.0
山东,财神方位,2014,wise,0.016200739718050874,866,57885,9789.0
山东,财神方位,2015,all,0.02409050249822281,1083,86585,9847.0
山东,财神方位,2015,pc,0.0036353468335533668,104,13066,9847.0
山东,财神方位,2015,wise,0.02045515566162283,979,73519,9847.0
山东,财神方位,2016,all,0.025695475640896755,1250,93547,9947.0
山东,财神方位,2016,pc,0.0018821063114506887,78,6852,9947.0
山东,财神方位,2016,wise,0.023813369327435406,1189,86695,9947.0
山东,财神方位,2017,all,0.03201832325604637,2275,116937,10006.0
山东,财神方位,2017,pc,0.002649916898860684,76,9678,10006.0
山东,财神方位,2017,wise,0.02936840635618629,2216,107259,10006.0
山东,财神方位,2018,all,0.0285496522544043,2498,104696,10047.0
山东,财神方位,2018,pc,0.004018101225241366,80,14735,10047.0
山东,财神方位,2018,wise,0.024531551030158256,2418,89961,10047.0
山东,财神方位,2019,all,0.026285585891456086,2411,96616,10070.21
山东,财神方位,2019,pc,0.003518039570177782,80,12931,10070.21
山东,财神方位,2019,wise,0.022767546317306195,2331,83685,10070.21
山东,财神方位,2020,all,0.02424604647572514,1684,90096,10152.7453
山东,财神方位,2020,pc,0.002870633299547069,74,10667,10152.7453
山东,财神方位,2020,wise,0.021375413180117892,1610,79429,10152.7453
山东,财神方位,2021,all,0.031020086804411807,2585,115148,10169.99
山东,财神方位,2021,pc,0.0036125626505040813,72,13410,10169.99
