keyword,type,date,index,province,year
财神,all,2011-01-01,68,上海,2011
财神,all,2011-01-02,76,上海,2011
财神,all,2011-01-03,78,上海,2011
财神,all,2011-01-04,106,上海,2011
财神,all,2011-01-05,87,上海,2011
财神,all,2011-01-06,85,上海,2011
财神,all,2011-01-07,91,上海,2011
财神,all,2011-01-08,72,上海,2011
财神,all,2011-01-09,83,上海,2011
财神,all,2011-01-10,99,上海,2011
财神,all,2011-01-11,95,上海,2011
财神,all,2011-01-12,78,上海,2011
财神,all,2011-01-13,93,上海,2011
财神,all,2011-01-14,89,上海,2011
财神,all,2011-01-15,85,上海,2011
财神,all,2011-01-16,74,上海,2011
财神,all,2011-01-17,93,上海,2011
财神,all,2011-01-18,83,上海,2011
财神,all,2011-01-19,91,上海,2011
财神,all,2011-01-20,106,上海,2011
财神,all,2011-01-21,83,上海,2011
财神,all,2011-01-22,89,上海,2011
财神,all,2011-01-23,80,上海,2011
财神,all,2011-01-24,110,上海,2011
财神,all,2011-01-25,78,上海,2011
财神,all,2011-01-26,110,上海,2011
财神,all,2011-01-27,85,上海,2011
财神,all,2011-01-28,91,上海,2011
财神,all,2011-01-29,85,上海,2011
财神,all,2011-01-30,93,上海,2011
财神,all,2011-01-31,101,上海,2011
财神,all,2011-02-01,121,上海,2011
财神,all,2011-02-02,102,上海,2011
财神,all,2011-02-03,137,上海,2011
财神,all,2011-02-04,99,上海,2011
财神,all,2011-02-05,150,上海,2011
财神,all,2011-02-06,861,上海,2011
财神,all,2011-02-07,600,上海,2011
财神,all,2011-02-08,127,上海,2011
财神,all,2011-02-09,137,上海,2011
财神,all,2011-02-10,137,上海,2011
财神,all,2011-02-11,101,上海,2011
财神,all,2011-02-12,102,上海,2011
财神,all,2011-02-13,95,上海,2011
财神,all,2011-02-14,99,上海,2011
财神,all,2011-02-15,108,上海,2011
财神,all,2011-02-16,95,上海,2011
财神,all,2011-02-17,82,上海,2011
财神,all,2011-02-18,99,上海,2011
财神,all,2011-02-19,66,上海,2011
财神,all,2011-02-20,87,上海,2011
财神,all,2011-02-21,97,上海,2011
财神,all,2011-02-22,99,上海,2011
财神,all,2011-02-23,82,上海,2011
财神,all,2011-02-24,89,上海,2011
财神,all,2011-02-25,82,上海,2011
财神,all,2011-02-26,70,上海,2011
财神,all,2011-02-27,72,上海,2011
财神,all,2011-02-28,83,上海,2011
财神,all,2011-03-01,85,上海,2011
财神,all,2011-03-02,72,上海,2011
财神,all,2011-03-03,82,上海,2011
财神,all,2011-03-04,89,上海,2011
财神,all,2011-03-05,80,上海,2011
财神,all,2011-03-06,68,上海,2011
财神,all,2011-03-07,82,上海,2011
财神,all,2011-03-08,70,上海,2011
财神,all,2011-03-09,70,上海,2011
财神,all,2011-03-10,83,上海,2011
财神,all,2011-03-11,70,上海,2011
财神,all,2011-03-12,72,上海,2011
财神,all,2011-03-13,78,上海,2011
财神,all,2011-03-14,80,上海,2011
财神,all,2011-03-15,78,上海,2011
财神,all,2011-03-16,66,上海,2011
财神,all,2011-03-17,83,上海,2011
财神,all,2011-03-18,72,上海,2011
财神,all,2011-03-19,72,上海,2011
财神,all,2011-03-20,72,上海,2011
财神,all,2011-03-21,72,上海,2011
财神,all,2011-03-22,70,上海,2011
财神,all,2011-03-23,72,上海,2011
财神,all,2011-03-24,74,上海,2011
财神,all,2011-03-25,72,上海,2011
财神,all,2011-03-26,68,上海,2011
财神,all,2011-03-27,80,上海,2011
财神,all,2011-03-28,76,上海,2011
财神,all,2011-03-29,76,上海,2011
财神,all,2011-03-30,76,上海,2011
财神,all,2011-03-31,70,上海,2011
财神,all,2011-04-01,78,上海,2011
财神,all,2011-04-02,64,上海,2011
财神,all,2011-04-03,72,上海,2011
财神,all,2011-04-04,68,上海,2011
财神,all,2011-04-05,64,上海,2011
财神,all,2011-04-06,82,上海,2011
财神,all,2011-04-07,78,上海,2011
财神,all,2011-04-08,78,上海,2011
财神,all,2011-04-09,68,上海,2011
财神,all,2011-04-10,82,上海,2011
财神,all,2011-04-11,68,上海,2011
财神,all,2011-04-12,83,上海,2011
财神,all,2011-04-13,66,上海,2011
财神,all,2011-04-14,72,上海,2011
财神,all,2011-04-15,70,上海,2011
财神,all,2011-04-16,64,上海,2011
财神,all,2011-04-17,82,上海,2011
财神,all,2011-04-18,72,上海,2011
财神,all,2011-04-19,66,上海,2011
财神,all,2011-04-20,66,上海,2011
财神,all,2011-04-21,78,上海,2011
财神,all,2011-04-22,68,上海,2011
财神,all,2011-04-23,70,上海,2011
财神,all,2011-04-24,85,上海,2011
财神,all,2011-04-25,72,上海,2011
财神,all,2011-04-26,68,上海,2011
财神,all,2011-04-27,93,上海,2011
财神,all,2011-04-28,74,上海,2011
财神,all,2011-04-29,89,上海,2011
财神,all,2011-04-30,72,上海,2011
财神,all,2011-05-01,70,上海,2011
财神,all,2011-05-02,80,上海,2011
财神,all,2011-05-03,76,上海,2011
财神,all,2011-05-04,91,上海,2011
财神,all,2011-05-05,78,上海,2011
财神,all,2011-05-06,74,上海,2011
财神,all,2011-05-07,66,上海,2011
财神,all,2011-05-08,63,上海,2011
财神,all,2011-05-09,66,上海,2011
财神,all,2011-05-10,70,上海,2011
财神,all,2011-05-11,72,上海,2011
财神,all,2011-05-12,85,上海,2011
财神,all,2011-05-13,83,上海,2011
财神,all,2011-05-14,66,上海,2011
财神,all,2011-05-15,61,上海,2011
财神,all,2011-05-16,78,上海,2011
财神,all,2011-05-17,76,上海,2011
财神,all,2011-05-18,74,上海,2011
财神,all,2011-05-19,74,上海,2011
财神,all,2011-05-20,64,上海,2011
财神,all,2011-05-21,78,上海,2011
财神,all,2011-05-22,74,上海,2011
财神,all,2011-05-23,72,上海,2011
财神,all,2011-05-24,72,上海,2011
财神,all,2011-05-25,68,上海,2011
财神,all,2011-05-26,72,上海,2011
财神,all,2011-05-27,87,上海,2011
财神,all,2011-05-28,68,上海,2011
财神,all,2011-05-29,64,上海,2011
财神,all,2011-05-30,87,上海,2011
财神,all,2011-05-31,72,上海,2011
财神,all,2011-06-01,78,上海,2011
财神,all,2011-06-02,76,上海,2011
财神,all,2011-06-03,68,上海,2011
财神,all,2011-06-04,68,上海,2011
财神,all,2011-06-05,64,上海,2011
财神,all,2011-06-06,66,上海,2011
财神,all,2011-06-07,64,上海,2011
财神,all,2011-06-08,66,上海,2011
财神,all,2011-06-09,68,上海,2011
财神,all,2011-06-10,76,上海,2011
财神,all,2011-06-11,68,上海,2011
财神,all,2011-06-12,72,上海,2011
财神,all,2011-06-13,64,上海,2011
财神,all,2011-06-14,68,上海,2011
财神,all,2011-06-15,66,上海,2011
财神,all,2011-06-16,80,上海,2011
财神,all,2011-06-17,74,上海,2011
财神,all,2011-06-18,63,上海,2011
财神,all,2011-06-19,64,上海,2011
财神,all,2011-06-20,80,上海,2011
财神,all,2011-06-21,74,上海,2011
财神,all,2011-06-22,74,上海,2011
财神,all,2011-06-23,68,上海,2011
财神,all,2011-06-24,68,上海,2011
财神,all,2011-06-25,64,上海,2011
财神,all,2011-06-26,82,上海,2011
财神,all,2011-06-27,89,上海,2011
财神,all,2011-06-28,72,上海,2011
财神,all,2011-06-29,85,上海,2011
财神,all,2011-06-30,72,上海,2011
财神,all,2011-07-01,74,上海,2011
财神,all,2011-07-02,78,上海,2011
财神,all,2011-07-03,89,上海,2011
财神,all,2011-07-04,70,上海,2011
财神,all,2011-07-05,89,上海,2011
财神,all,2011-07-06,83,上海,2011
财神,all,2011-07-07,74,上海,2011
财神,all,2011-07-08,91,上海,2011
财神,all,2011-07-09,68,上海,2011
财神,all,2011-07-10,72,上海,2011
财神,all,2011-07-11,89,上海,2011
财神,all,2011-07-12,91,上海,2011
财神,all,2011-07-13,87,上海,2011
财神,all,2011-07-14,83,上海,2011
财神,all,2011-07-15,70,上海,2011
财神,all,2011-07-16,82,上海,2011
财神,all,2011-07-17,70,上海,2011
财神,all,2011-07-18,87,上海,2011
财神,all,2011-07-19,112,上海,2011
财神,all,2011-07-20,76,上海,2011
