keyword,type,date,index,province,year
财神,all,2011-01-01,74,吉林,2011
财神,all,2011-01-02,74,吉林,2011
财神,all,2011-01-03,78,吉林,2011
财神,all,2011-01-04,74,吉林,2011
财神,all,2011-01-05,68,吉林,2011
财神,all,2011-01-06,78,吉林,2011
财神,all,2011-01-07,83,吉林,2011
财神,all,2011-01-08,66,吉林,2011
财神,all,2011-01-09,76,吉林,2011
财神,all,2011-01-10,70,吉林,2011
财神,all,2011-01-11,70,吉林,2011
财神,all,2011-01-12,74,吉林,2011
财神,all,2011-01-13,70,吉林,2011
财神,all,2011-01-14,64,吉林,2011
财神,all,2011-01-15,87,吉林,2011
财神,all,2011-01-16,64,吉林,2011
财神,all,2011-01-17,85,吉林,2011
财神,all,2011-01-18,80,吉林,2011
财神,all,2011-01-19,66,吉林,2011
财神,all,2011-01-20,87,吉林,2011
财神,all,2011-01-21,87,吉林,2011
财神,all,2011-01-22,89,吉林,2011
财神,all,2011-01-23,72,吉林,2011
财神,all,2011-01-24,76,吉林,2011
财神,all,2011-01-25,78,吉林,2011
财神,all,2011-01-26,89,吉林,2011
财神,all,2011-01-27,80,吉林,2011
财神,all,2011-01-28,82,吉林,2011
财神,all,2011-01-29,78,吉林,2011
财神,all,2011-01-30,83,吉林,2011
财神,all,2011-01-31,78,吉林,2011
财神,all,2011-02-01,116,吉林,2011
财神,all,2011-02-02,172,吉林,2011
财神,all,2011-02-03,93,吉林,2011
财神,all,2011-02-04,82,吉林,2011
财神,all,2011-02-05,80,吉林,2011
财神,all,2011-02-06,83,吉林,2011
财神,all,2011-02-07,102,吉林,2011
财神,all,2011-02-08,89,吉林,2011
财神,all,2011-02-09,66,吉林,2011
财神,all,2011-02-10,95,吉林,2011
财神,all,2011-02-11,80,吉林,2011
财神,all,2011-02-12,74,吉林,2011
财神,all,2011-02-13,74,吉林,2011
财神,all,2011-02-14,76,吉林,2011
财神,all,2011-02-15,64,吉林,2011
财神,all,2011-02-16,78,吉林,2011
财神,all,2011-02-17,72,吉林,2011
财神,all,2011-02-18,68,吉林,2011
财神,all,2011-02-19,76,吉林,2011
财神,all,2011-02-20,61,吉林,2011
财神,all,2011-02-21,76,吉林,2011
财神,all,2011-02-22,80,吉林,2011
财神,all,2011-02-23,74,吉林,2011
财神,all,2011-02-24,70,吉林,2011
财神,all,2011-02-25,72,吉林,2011
财神,all,2011-02-26,64,吉林,2011
财神,all,2011-02-27,70,吉林,2011
财神,all,2011-02-28,74,吉林,2011
财神,all,2011-03-01,68,吉林,2011
财神,all,2011-03-02,68,吉林,2011
财神,all,2011-03-03,61,吉林,2011
财神,all,2011-03-04,68,吉林,2011
财神,all,2011-03-05,68,吉林,2011
财神,all,2011-03-06,66,吉林,2011
财神,all,2011-03-07,76,吉林,2011
财神,all,2011-03-08,70,吉林,2011
财神,all,2011-03-09,72,吉林,2011
财神,all,2011-03-10,72,吉林,2011
财神,all,2011-03-11,78,吉林,2011
