keyword,type,date,index,province,year
财神,all,2011-01-01,66,天津,2011
财神,all,2011-01-02,76,天津,2011
财神,all,2011-01-03,74,天津,2011
财神,all,2011-01-04,80,天津,2011
财神,all,2011-01-05,78,天津,2011
财神,all,2011-01-06,70,天津,2011
财神,all,2011-01-07,83,天津,2011
财神,all,2011-01-08,66,天津,2011
财神,all,2011-01-09,72,天津,2011
财神,all,2011-01-10,66,天津,2011
财神,all,2011-01-11,74,天津,2011
财神,all,2011-01-12,66,天津,2011
财神,all,2011-01-13,78,天津,2011
财神,all,2011-01-14,70,天津,2011
财神,all,2011-01-15,78,天津,2011
财神,all,2011-01-16,74,天津,2011
财神,all,2011-01-17,80,天津,2011
财神,all,2011-01-18,83,天津,2011
财神,all,2011-01-19,68,天津,2011
财神,all,2011-01-20,85,天津,2011
财神,all,2011-01-21,68,天津,2011
财神,all,2011-01-22,68,天津,2011
财神,all,2011-01-23,70,天津,2011
财神,all,2011-01-24,80,天津,2011
财神,all,2011-01-25,91,天津,2011
财神,all,2011-01-26,102,天津,2011
财神,all,2011-01-27,80,天津,2011
财神,all,2011-01-28,70,天津,2011
财神,all,2011-01-29,91,天津,2011
财神,all,2011-01-30,85,天津,2011
财神,all,2011-01-31,97,天津,2011
财神,all,2011-02-01,82,天津,2011
财神,all,2011-02-02,133,天津,2011
财神,all,2011-02-03,87,天津,2011
财神,all,2011-02-04,112,天津,2011
财神,all,2011-02-05,89,天津,2011
财神,all,2011-02-06,89,天津,2011
财神,all,2011-02-07,154,天津,2011
财神,all,2011-02-08,89,天津,2011
财神,all,2011-02-09,87,天津,2011
财神,all,2011-02-10,82,天津,2011
财神,all,2011-02-11,82,天津,2011
财神,all,2011-02-12,85,天津,2011
财神,all,2011-02-13,82,天津,2011
财神,all,2011-02-14,76,天津,2011
财神,all,2011-02-15,87,天津,2011
财神,all,2011-02-16,80,天津,2011
财神,all,2011-02-17,66,天津,2011
财神,all,2011-02-18,80,天津,2011
财神,all,2011-02-19,72,天津,2011
财神,all,2011-02-20,89,天津,2011
财神,all,2011-02-21,70,天津,2011
财神,all,2011-02-22,72,天津,2011
财神,all,2011-02-23,68,天津,2011
财神,all,2011-02-24,70,天津,2011
财神,all,2011-02-25,70,天津,2011
财神,all,2011-02-26,74,天津,2011
财神,all,2011-02-27,68,天津,2011
财神,all,2011-02-28,76,天津,2011
财神,all,2011-03-01,78,天津,2011
财神,all,2011-03-02,76,天津,2011
财神,all,2011-03-03,72,天津,2011
财神,all,2011-03-04,82,天津,2011
财神,all,2011-03-05,82,天津,2011
财神,all,2011-03-06,66,天津,2011
财神,all,2011-03-07,63,天津,2011
财神,all,2011-03-08,78,天津,2011
财神,all,2011-03-09,66,天津,2011
财神,all,2011-03-10,63,天津,2011
财神,all,2011-03-11,63,天津,2011
财神,all,2011-03-12,72,天津,2011
财神,all,2011-03-13,70,天津,2011
财神,all,2011-03-14,78,天津,2011
财神,all,2011-03-15,78,天津,2011
财神,all,2011-03-16,70,天津,2011
财神,all,2011-03-17,63,天津,2011
财神,all,2011-03-18,64,天津,2011
财神,all,2011-03-19,66,天津,2011
财神,all,2011-03-20,72,天津,2011
财神,all,2011-03-21,70,天津,2011
财神,all,2011-03-22,63,天津,2011
财神,all,2011-03-23,74,天津,2011
财神,all,2011-03-24,63,天津,2011
财神,all,2011-03-25,64,天津,2011
财神,all,2011-03-26,66,天津,2011
财神,all,2011-03-27,59,天津,2011
财神,all,2011-03-28,78,天津,2011
财神,all,2011-03-29,72,天津,2011
财神,all,2011-03-30,72,天津,2011
财神,all,2011-03-31,63,天津,2011
财神,all,2011-04-01,61,天津,2011
财神,all,2011-04-02,64,天津,2011
财神,all,2011-04-03,68,天津,2011
财神,all,2011-04-04,68,天津,2011
财神,all,2011-04-05,63,天津,2011
财神,all,2011-04-06,63,天津,2011
财神,all,2011-04-07,72,天津,2011
财神,all,2011-04-08,61,天津,2011
财神,all,2011-04-09,64,天津,2011
财神,all,2011-04-10,78,天津,2011
财神,all,2011-04-11,68,天津,2011
财神,all,2011-04-12,83,天津,2011
财神,all,2011-04-13,76,天津,2011
财神,all,2011-04-14,63,天津,2011
财神,all,2011-04-15,66,天津,2011
财神,all,2011-04-16,66,天津,2011
财神,all,2011-04-17,70,天津,2011
财神,all,2011-04-18,72,天津,2011
财神,all,2011-04-19,80,天津,2011
财神,all,2011-04-20,80,天津,2011
财神,all,2011-04-21,70,天津,2011
财神,all,2011-04-22,68,天津,2011
财神,all,2011-04-23,68,天津,2011
财神,all,2011-04-24,68,天津,2011
财神,all,2011-04-25,63,天津,2011
财神,all,2011-04-26,68,天津,2011
财神,all,2011-04-27,70,天津,2011
财神,all,2011-04-28,78,天津,2011
财神,all,2011-04-29,59,天津,2011
财神,all,2011-04-30,66,天津,2011
财神,all,2011-05-01,63,天津,2011
财神,all,2011-05-02,78,天津,2011
财神,all,2011-05-03,76,天津,2011
财神,all,2011-05-04,76,天津,2011
财神,all,2011-05-05,74,天津,2011
财神,all,2011-05-06,61,天津,2011
财神,all,2011-05-07,68,天津,2011
财神,all,2011-05-08,83,天津,2011
财神,all,2011-05-09,64,天津,2011
财神,all,2011-05-10,74,天津,2011
财神,all,2011-05-11,74,天津,2011
财神,all,2011-05-12,64,天津,2011
财神,all,2011-05-13,95,天津,2011
财神,all,2011-05-14,76,天津,2011
财神,all,2011-05-15,68,天津,2011
财神,all,2011-05-16,66,天津,2011
财神,all,2011-05-17,80,天津,2011
财神,all,2011-05-18,59,天津,2011
财神,all,2011-05-19,66,天津,2011
财神,all,2011-05-20,72,天津,2011
财神,all,2011-05-21,64,天津,2011
财神,all,2011-05-22,72,天津,2011
财神,all,2011-05-23,66,天津,2011
财神,all,2011-05-24,66,天津,2011
财神,all,2011-05-25,80,天津,2011
财神,all,2011-05-26,74,天津,2011
财神,all,2011-05-27,63,天津,2011
财神,all,2011-05-28,78,天津,2011
财神,all,2011-05-29,64,天津,2011
财神,all,2011-05-30,72,天津,2011
财神,all,2011-05-31,68,天津,2011
财神,all,2011-06-01,68,天津,2011
财神,all,2011-06-02,72,天津,2011
财神,all,2011-06-03,70,天津,2011
财神,all,2011-06-04,66,天津,2011
财神,all,2011-06-05,63,天津,2011
财神,all,2011-06-06,70,天津,2011
财神,all,2011-06-07,72,天津,2011
财神,all,2011-06-08,64,天津,2011
财神,all,2011-06-09,72,天津,2011
财神,all,2011-06-10,74,天津,2011
财神,all,2011-06-11,66,天津,2011
财神,all,2011-06-12,78,天津,2011
财神,all,2011-06-13,74,天津,2011
财神,all,2011-06-14,74,天津,2011
财神,all,2011-06-15,70,天津,2011
财神,all,2011-06-16,72,天津,2011
财神,all,2011-06-17,70,天津,2011
财神,all,2011-06-18,63,天津,2011
财神,all,2011-06-19,63,天津,2011
财神,all,2011-06-20,66,天津,2011
财神,all,2011-06-21,68,天津,2011
财神,all,2011-06-22,68,天津,2011
财神,all,2011-06-23,72,天津,2011
财神,all,2011-06-24,63,天津,2011
财神,all,2011-06-25,63,天津,2011
财神,all,2011-06-26,61,天津,2011
财神,all,2011-06-27,64,天津,2011
财神,all,2011-06-28,66,天津,2011
财神,all,2011-06-29,74,天津,2011
财神,all,2011-06-30,68,天津,2011
财神,all,2011-07-01,83,天津,2011
财神,all,2011-07-02,66,天津,2011
财神,all,2011-07-03,82,天津,2011
财神,all,2011-07-04,78,天津,2011
财神,all,2011-07-05,72,天津,2011
财神,all,2011-07-06,76,天津,2011
财神,all,2011-07-07,83,天津,2011
财神,all,2011-07-08,68,天津,2011
财神,all,2011-07-09,66,天津,2011
财神,all,2011-07-10,66,天津,2011
财神,all,2011-07-11,66,天津,2011
财神,all,2011-07-12,76,天津,2011
财神,all,2011-07-13,66,天津,2011
财神,all,2011-07-14,66,天津,2011
财神,all,2011-07-15,76,天津,2011
财神,all,2011-07-16,74,天津,2011
财神,all,2011-07-17,80,天津,2011
财神,all,2011-07-18,76,天津,2011
财神,all,2011-07-19,76,天津,2011
