keyword,type,date,index,province,year
财神,all,2011-01-01,118,山东,2011
财神,all,2011-01-02,110,山东,2011
财神,all,2011-01-03,116,山东,2011
财神,all,2011-01-04,104,山东,2011
财神,all,2011-01-05,121,山东,2011
财神,all,2011-01-06,120,山东,2011
财神,all,2011-01-07,129,山东,2011
财神,all,2011-01-08,118,山东,2011
财神,all,2011-01-09,127,山东,2011
财神,all,2011-01-10,114,山东,2011
财神,all,2011-01-11,139,山东,2011
财神,all,2011-01-12,120,山东,2011
财神,all,2011-01-13,123,山东,2011
财神,all,2011-01-14,116,山东,2011
财神,all,2011-01-15,99,山东,2011
财神,all,2011-01-16,116,山东,2011
财神,all,2011-01-17,104,山东,2011
财神,all,2011-01-18,118,山东,2011
财神,all,2011-01-19,116,山东,2011
财神,all,2011-01-20,131,山东,2011
财神,all,2011-01-21,114,山东,2011
财神,all,2011-01-22,106,山东,2011
财神,all,2011-01-23,121,山东,2011
财神,all,2011-01-24,114,山东,2011
财神,all,2011-01-25,139,山东,2011
财神,all,2011-01-26,152,山东,2011
财神,all,2011-01-27,165,山东,2011
财神,all,2011-01-28,140,山东,2011
财神,all,2011-01-29,112,山东,2011
财神,all,2011-01-30,129,山东,2011
财神,all,2011-01-31,135,山东,2011
财神,all,2011-02-01,148,山东,2011
财神,all,2011-02-02,215,山东,2011
财神,all,2011-02-03,139,山东,2011
财神,all,2011-02-04,146,山东,2011
财神,all,2011-02-05,137,山东,2011
财神,all,2011-02-06,204,山东,2011
财神,all,2011-02-07,229,山东,2011
财神,all,2011-02-08,158,山东,2011
财神,all,2011-02-09,179,山东,2011
财神,all,2011-02-10,159,山东,2011
财神,all,2011-02-11,131,山东,2011
财神,all,2011-02-12,125,山东,2011
财神,all,2011-02-13,137,山东,2011
财神,all,2011-02-14,116,山东,2011
财神,all,2011-02-15,97,山东,2011
财神,all,2011-02-16,142,山东,2011
财神,all,2011-02-17,120,山东,2011
财神,all,2011-02-18,129,山东,2011
财神,all,2011-02-19,116,山东,2011
财神,all,2011-02-20,102,山东,2011
财神,all,2011-02-21,133,山东,2011
财神,all,2011-02-22,91,山东,2011
财神,all,2011-02-23,110,山东,2011
财神,all,2011-02-24,108,山东,2011
财神,all,2011-02-25,106,山东,2011
财神,all,2011-02-26,82,山东,2011
财神,all,2011-02-27,102,山东,2011
