keyword,type,date,index,province,year
财神,all,2011-01-01,112,广东,2011
财神,all,2011-01-02,108,广东,2011
财神,all,2011-01-03,93,广东,2011
财神,all,2011-01-04,116,广东,2011
财神,all,2011-01-05,133,广东,2011
财神,all,2011-01-06,110,广东,2011
财神,all,2011-01-07,110,广东,2011
财神,all,2011-01-08,101,广东,2011
财神,all,2011-01-09,101,广东,2011
财神,all,2011-01-10,108,广东,2011
财神,all,2011-01-11,112,广东,2011
财神,all,2011-01-12,116,广东,2011
财神,all,2011-01-13,140,广东,2011
财神,all,2011-01-14,116,广东,2011
财神,all,2011-01-15,104,广东,2011
财神,all,2011-01-16,110,广东,2011
财神,all,2011-01-17,121,广东,2011
财神,all,2011-01-18,139,广东,2011
财神,all,2011-01-19,133,广东,2011
财神,all,2011-01-20,121,广东,2011
财神,all,2011-01-21,120,广东,2011
财神,all,2011-01-22,110,广东,2011
财神,all,2011-01-23,101,广东,2011
财神,all,2011-01-24,137,广东,2011
财神,all,2011-01-25,116,广东,2011
财神,all,2011-01-26,155,广东,2011
财神,all,2011-01-27,154,广东,2011
财神,all,2011-01-28,120,广东,2011
财神,all,2011-01-29,108,广东,2011
财神,all,2011-01-30,121,广东,2011
财神,all,2011-01-31,120,广东,2011
财神,all,2011-02-01,125,广东,2011
财神,all,2011-02-02,293,广东,2011
财神,all,2011-02-03,215,广东,2011
财神,all,2011-02-04,116,广东,2011
财神,all,2011-02-05,155,广东,2011
财神,all,2011-02-06,223,广东,2011
财神,all,2011-02-07,219,广东,2011
财神,all,2011-02-08,162,广东,2011
财神,all,2011-02-09,162,广东,2011
财神,all,2011-02-10,131,广东,2011
财神,all,2011-02-11,152,广东,2011
财神,all,2011-02-12,133,广东,2011
财神,all,2011-02-13,120,广东,2011
财神,all,2011-02-14,120,广东,2011
财神,all,2011-02-15,114,广东,2011
财神,all,2011-02-16,106,广东,2011
财神,all,2011-02-17,101,广东,2011
财神,all,2011-02-18,118,广东,2011
财神,all,2011-02-19,125,广东,2011
财神,all,2011-02-20,108,广东,2011
财神,all,2011-02-21,112,广东,2011
财神,all,2011-02-22,137,广东,2011
财神,all,2011-02-23,97,广东,2011
财神,all,2011-02-24,99,广东,2011
财神,all,2011-02-25,87,广东,2011
财神,all,2011-02-26,104,广东,2011
财神,all,2011-02-27,102,广东,2011
财神,all,2011-02-28,83,广东,2011
财神,all,2011-03-01,89,广东,2011
财神,all,2011-03-02,91,广东,2011
财神,all,2011-03-03,118,广东,2011
财神,all,2011-03-04,102,广东,2011
财神,all,2011-03-05,102,广东,2011
财神,all,2011-03-06,97,广东,2011
财神,all,2011-03-07,82,广东,2011
财神,all,2011-03-08,114,广东,2011
财神,all,2011-03-09,102,广东,2011
财神,all,2011-03-10,114,广东,2011
财神,all,2011-03-11,112,广东,2011
财神,all,2011-03-12,106,广东,2011
财神,all,2011-03-13,104,广东,2011
财神,all,2011-03-14,99,广东,2011
财神,all,2011-03-15,97,广东,2011
财神,all,2011-03-16,99,广东,2011
财神,all,2011-03-17,99,广东,2011
财神,all,2011-03-18,108,广东,2011
财神,all,2011-03-19,89,广东,2011
财神,all,2011-03-20,76,广东,2011
财神,all,2011-03-21,123,广东,2011
财神,all,2011-03-22,104,广东,2011
财神,all,2011-03-23,91,广东,2011
财神,all,2011-03-24,101,广东,2011
财神,all,2011-03-25,101,广东,2011
财神,all,2011-03-26,91,广东,2011
财神,all,2011-03-27,91,广东,2011
财神,all,2011-03-28,95,广东,2011
财神,all,2011-03-29,116,广东,2011
财神,all,2011-03-30,106,广东,2011
财神,all,2011-03-31,97,广东,2011
财神,all,2011-04-01,82,广东,2011
财神,all,2011-04-02,82,广东,2011
财神,all,2011-04-03,93,广东,2011
财神,all,2011-04-04,87,广东,2011
财神,all,2011-04-05,85,广东,2011
财神,all,2011-04-06,87,广东,2011
财神,all,2011-04-07,83,广东,2011
财神,all,2011-04-08,83,广东,2011
财神,all,2011-04-09,101,广东,2011
财神,all,2011-04-10,87,广东,2011
财神,all,2011-04-11,83,广东,2011
财神,all,2011-04-12,110,广东,2011
财神,all,2011-04-13,93,广东,2011
财神,all,2011-04-14,91,广东,2011
财神,all,2011-04-15,95,广东,2011
财神,all,2011-04-16,104,广东,2011
财神,all,2011-04-17,95,广东,2011
财神,all,2011-04-18,91,广东,2011
财神,all,2011-04-19,104,广东,2011
财神,all,2011-04-20,101,广东,2011
财神,all,2011-04-21,82,广东,2011
财神,all,2011-04-22,97,广东,2011
财神,all,2011-04-23,89,广东,2011
财神,all,2011-04-24,97,广东,2011
财神,all,2011-04-25,99,广东,2011
财神,all,2011-04-26,97,广东,2011
财神,all,2011-04-27,99,广东,2011
财神,all,2011-04-28,125,广东,2011
财神,all,2011-04-29,93,广东,2011
财神,all,2011-04-30,87,广东,2011
财神,all,2011-05-01,97,广东,2011
财神,all,2011-05-02,106,广东,2011
财神,all,2011-05-03,106,广东,2011
财神,all,2011-05-04,101,广东,2011
财神,all,2011-05-05,91,广东,2011
财神,all,2011-05-06,108,广东,2011
财神,all,2011-05-07,93,广东,2011
财神,all,2011-05-08,82,广东,2011
财神,all,2011-05-09,125,广东,2011
财神,all,2011-05-10,97,广东,2011
财神,all,2011-05-11,95,广东,2011
财神,all,2011-05-12,101,广东,2011
财神,all,2011-05-13,99,广东,2011
财神,all,2011-05-14,104,广东,2011
财神,all,2011-05-15,114,广东,2011
财神,all,2011-05-16,112,广东,2011
财神,all,2011-05-17,121,广东,2011
财神,all,2011-05-18,89,广东,2011
财神,all,2011-05-19,99,广东,2011
财神,all,2011-05-20,102,广东,2011
财神,all,2011-05-21,91,广东,2011
财神,all,2011-05-22,93,广东,2011
财神,all,2011-05-23,104,广东,2011
财神,all,2011-05-24,97,广东,2011
财神,all,2011-05-25,97,广东,2011
财神,all,2011-05-26,97,广东,2011
财神,all,2011-05-27,106,广东,2011
财神,all,2011-05-28,101,广东,2011
财神,all,2011-05-29,91,广东,2011
财神,all,2011-05-30,101,广东,2011
财神,all,2011-05-31,99,广东,2011
财神,all,2011-06-01,95,广东,2011
财神,all,2011-06-02,93,广东,2011
财神,all,2011-06-03,91,广东,2011
财神,all,2011-06-04,97,广东,2011
财神,all,2011-06-05,97,广东,2011
财神,all,2011-06-06,101,广东,2011
财神,all,2011-06-07,102,广东,2011
财神,all,2011-06-08,99,广东,2011
财神,all,2011-06-09,93,广东,2011
财神,all,2011-06-10,89,广东,2011
财神,all,2011-06-11,87,广东,2011
财神,all,2011-06-12,99,广东,2011
财神,all,2011-06-13,101,广东,2011
财神,all,2011-06-14,99,广东,2011
财神,all,2011-06-15,97,广东,2011
财神,all,2011-06-16,120,广东,2011
财神,all,2011-06-17,99,广东,2011
财神,all,2011-06-18,127,广东,2011
财神,all,2011-06-19,116,广东,2011
财神,all,2011-06-20,106,广东,2011
财神,all,2011-06-21,101,广东,2011
财神,all,2011-06-22,101,广东,2011
财神,all,2011-06-23,97,广东,2011
财神,all,2011-06-24,102,广东,2011
财神,all,2011-06-25,104,广东,2011
财神,all,2011-06-26,110,广东,2011
财神,all,2011-06-27,123,广东,2011
财神,all,2011-06-28,131,广东,2011
财神,all,2011-06-29,157,广东,2011
财神,all,2011-06-30,140,广东,2011
财神,all,2011-07-01,151,广东,2011
财神,all,2011-07-02,180,广东,2011
财神,all,2011-07-03,166,广东,2011
财神,all,2011-07-04,195,广东,2011
财神,all,2011-07-05,183,广东,2011
财神,all,2011-07-06,190,广东,2011
财神,all,2011-07-07,176,广东,2011
财神,all,2011-07-08,157,广东,2011
财神,all,2011-07-09,208,广东,2011
财神,all,2011-07-10,162,广东,2011
财神,all,2011-07-11,157,广东,2011
财神,all,2011-07-12,158,广东,2011
财神,all,2011-07-13,157,广东,2011
财神,all,2011-07-14,142,广东,2011
财神,all,2011-07-15,173,广东,2011
财神,all,2011-07-16,158,广东,2011
财神,all,2011-07-17,186,广东,2011
财神,all,2011-07-18,154,广东,2011
财神,all,2011-07-19,142,广东,2011
财神,all,2011-07-20,139,广东,2011
财神,all,2011-07-21,140,广东,2011
财神,all,2011-07-22,161,广东,2011
财神,all,2011-07-23,152,广东,2011
财神,all,2011-07-24,140,广东,2011
财神,all,2011-07-25,127,广东,2011
财神,all,2011-07-26,172,广东,2011
财神,all,2011-07-27,140,广东,2011
财神,all,2011-07-28,131,广东,2011
财神,all,2011-07-29,123,广东,2011
财神,all,2011-07-30,125,广东,2011
财神,all,2011-07-31,151,广东,2011
财神,all,2011-08-01,144,广东,2011
财神,all,2011-08-02,154,广东,2011
财神,all,2011-08-03,120,广东,2011
财神,all,2011-08-04,123,广东,2011
财神,all,2011-08-05,152,广东,2011
财神,all,2011-08-06,129,广东,2011
财神,all,2011-08-07,129,广东,2011
财神,all,2011-08-08,125,广东,2011
财神,all,2011-08-09,125,广东,2011
财神,all,2011-08-10,129,广东,2011
财神,all,2011-08-11,155,广东,2011
财神,all,2011-08-12,159,广东,2011
财神,all,2011-08-13,162,广东,2011
财神,all,2011-08-14,188,广东,2011
财神,all,2011-08-15,198,广东,2011
财神,all,2011-08-16,166,广东,2011
财神,all,2011-08-17,184,广东,2011
财神,all,2011-08-18,177,广东,2011
财神,all,2011-08-19,159,广东,2011
财神,all,2011-08-20,172,广东,2011
财神,all,2011-08-21,157,广东,2011
财神,all,2011-08-22,157,广东,2011
财神,all,2011-08-23,135,广东,2011
财神,all,2011-08-24,135,广东,2011
财神,all,2011-08-25,158,广东,2011
财神,all,2011-08-26,121,广东,2011
财神,all,2011-08-27,144,广东,2011
财神,all,2011-08-28,104,广东,2011
财神,all,2011-08-29,121,广东,2011
财神,all,2011-08-30,123,广东,2011
财神,all,2011-08-31,162,广东,2011
财神,all,2011-09-01,129,广东,2011
财神,all,2011-09-02,159,广东,2011
财神,all,2011-09-03,118,广东,2011
财神,all,2011-09-04,114,广东,2011
财神,all,2011-09-05,108,广东,2011
财神,all,2011-09-06,110,广东,2011
财神,all,2011-09-07,110,广东,2011
财神,all,2011-09-08,104,广东,2011
财神,all,2011-09-09,110,广东,2011
财神,all,2011-09-10,120,广东,2011
财神,all,2011-09-11,106,广东,2011
财神,all,2011-09-12,123,广东,2011
财神,all,2011-09-13,110,广东,2011
财神,all,2011-09-14,118,广东,2011
财神,all,2011-09-15,116,广东,2011
财神,all,2011-09-16,108,广东,2011
财神,all,2011-09-17,123,广东,2011
财神,all,2011-09-18,118,广东,2011
财神,all,2011-09-19,99,广东,2011
财神,all,2011-09-20,101,广东,2011
财神,all,2011-09-21,114,广东,2011
财神,all,2011-09-22,114,广东,2011
财神,all,2011-09-23,101,广东,2011
财神,all,2011-09-24,104,广东,2011
财神,all,2011-09-25,93,广东,2011
财神,all,2011-09-26,110,广东,2011
财神,all,2011-09-27,114,广东,2011
财神,all,2011-09-28,118,广东,2011
财神,all,2011-09-29,108,广东,2011
财神,all,2011-09-30,116,广东,2011
财神,all,2011-10-01,112,广东,2011
财神,all,2011-10-02,121,广东,2011
财神,all,2011-10-03,133,广东,2011
财神,all,2011-10-04,114,广东,2011
财神,all,2011-10-05,99,广东,2011
财神,all,2011-10-06,82,广东,2011
财神,all,2011-10-07,106,广东,2011
财神,all,2011-10-08,125,广东,2011
财神,all,2011-10-09,91,广东,2011
财神,all,2011-10-10,116,广东,2011
财神,all,2011-10-11,118,广东,2011
财神,all,2011-10-12,123,广东,2011
财神,all,2011-10-13,118,广东,2011
财神,all,2011-10-14,102,广东,2011
财神,all,2011-10-15,110,广东,2011
财神,all,2011-10-16,108,广东,2011
财神,all,2011-10-17,108,广东,2011
财神,all,2011-10-18,91,广东,2011
财神,all,2011-10-19,101,广东,2011
财神,all,2011-10-20,104,广东,2011
财神,all,2011-10-21,106,广东,2011
财神,all,2011-10-22,108,广东,2011
财神,all,2011-10-23,99,广东,2011
财神,all,2011-10-24,114,广东,2011
财神,all,2011-10-25,121,广东,2011
财神,all,2011-10-26,114,广东,2011
财神,all,2011-10-27,106,广东,2011
财神,all,2011-10-28,95,广东,2011
财神,pc,2011-01-01,112,广东,2011
财神,pc,2011-01-02,108,广东,2011
财神,pc,2011-01-03,93,广东,2011
财神,pc,2011-01-04,116,广东,2011
财神,pc,2011-01-05,133,广东,2011
财神,pc,2011-01-06,110,广东,2011
财神,pc,2011-01-07,110,广东,2011
财神,pc,2011-01-08,101,广东,2011
财神,pc,2011-01-09,101,广东,2011
财神,pc,2011-01-10,108,广东,2011
财神,pc,2011-01-11,112,广东,2011
财神,pc,2011-01-12,116,广东,2011
财神,pc,2011-01-13,140,广东,2011
财神,pc,2011-01-14,116,广东,2011
财神,pc,2011-01-15,104,广东,2011
财神,pc,2011-01-16,110,广东,2011
财神,pc,2011-01-17,121,广东,2011
财神,pc,2011-01-18,139,广东,2011
财神,pc,2011-01-19,133,广东,2011
财神,pc,2011-01-20,121,广东,2011
财神,pc,2011-01-21,120,广东,2011
财神,pc,2011-01-22,110,广东,2011
财神,pc,2011-01-23,101,广东,2011
财神,pc,2011-01-24,137,广东,2011
财神,pc,2011-01-25,116,广东,2011
财神,pc,2011-01-26,155,广东,2011
财神,pc,2011-01-27,154,广东,2011
财神,pc,2011-01-28,120,广东,2011
财神,pc,2011-01-29,108,广东,2011
财神,pc,2011-01-30,121,广东,2011
财神,pc,2011-01-31,120,广东,2011
财神,pc,2011-02-01,125,广东,2011
财神,pc,2011-02-02,293,广东,2011
财神,pc,2011-02-03,215,广东,2011
财神,pc,2011-02-04,116,广东,2011
财神,pc,2011-02-05,155,广东,2011
财神,pc,2011-02-06,223,广东,2011
财神,pc,2011-02-07,219,广东,2011
财神,pc,2011-02-08,162,广东,2011
财神,pc,2011-02-09,162,广东,2011
财神,pc,2011-02-10,131,广东,2011
财神,pc,2011-02-11,152,广东,2011
财神,pc,2011-02-12,133,广东,2011
财神,pc,2011-02-13,120,广东,2011
财神,pc,2011-02-14,120,广东,2011
财神,pc,2011-02-15,114,广东,2011
财神,pc,2011-02-16,106,广东,2011
财神,pc,2011-02-17,101,广东,2011
财神,pc,2011-02-18,118,广东,2011
财神,pc,2011-02-19,125,广东,2011
财神,pc,2011-02-20,108,广东,2011
财神,pc,2011-02-21,112,广东,2011
财神,pc,2011-02-22,137,广东,2011
财神,pc,2011-02-23,97,广东,2011
财神,pc,2011-02-24,99,广东,2011
财神,pc,2011-02-25,87,广东,2011
财神,pc,2011-02-26,104,广东,2011
财神,pc,2011-02-27,102,广东,2011
财神,pc,2011-02-28,83,广东,2011
财神,pc,2011-03-01,89,广东,2011
财神,pc,2011-03-02,91,广东,2011
财神,pc,2011-03-03,118,广东,2011
财神,pc,2011-03-04,102,广东,2011
财神,pc,2011-03-05,102,广东,2011
财神,pc,2011-03-06,97,广东,2011
财神,pc,2011-03-07,82,广东,2011
财神,pc,2011-03-08,114,广东,2011
财神,pc,2011-03-09,102,广东,2011
财神,pc,2011-03-10,114,广东,2011
财神,pc,2011-03-11,112,广东,2011
财神,pc,2011-03-12,106,广东,2011
财神,pc,2011-03-13,104,广东,2011
财神,pc,2011-03-14,99,广东,2011
财神,pc,2011-03-15,97,广东,2011
财神,pc,2011-03-16,99,广东,2011
财神,pc,2011-03-17,99,广东,2011
财神,pc,2011-03-18,108,广东,2011
财神,pc,2011-03-19,89,广东,2011
财神,pc,2011-03-20,76,广东,2011
财神,pc,2011-03-21,123,广东,2011
财神,pc,2011-03-22,104,广东,2011
财神,pc,2011-03-23,91,广东,2011
财神,pc,2011-03-24,101,广东,2011
财神,pc,2011-03-25,101,广东,2011
财神,pc,2011-03-26,91,广东,2011
财神,pc,2011-03-27,91,广东,2011
财神,pc,2011-03-28,95,广东,2011
财神,pc,2011-03-29,116,广东,2011
财神,pc,2011-03-30,106,广东,2011
财神,pc,2011-03-31,97,广东,2011
财神,pc,2011-04-01,82,广东,2011
财神,pc,2011-04-02,82,广东,2011
财神,pc,2011-04-03,93,广东,2011
财神,pc,2011-04-04,87,广东,2011
财神,pc,2011-04-05,85,广东,2011
财神,pc,2011-04-06,87,广东,2011
财神,pc,2011-04-07,83,广东,2011
财神,pc,2011-04-08,83,广东,2011
财神,pc,2011-04-09,101,广东,2011
财神,pc,2011-04-10,87,广东,2011
财神,pc,2011-04-11,83,广东,2011
财神,pc,2011-04-12,110,广东,2011
财神,pc,2011-04-13,93,广东,2011
财神,pc,2011-04-14,91,广东,2011
财神,pc,2011-04-15,95,广东,2011
财神,pc,2011-04-16,104,广东,2011
财神,pc,2011-04-17,95,广东,2011
财神,pc,2011-04-18,91,广东,2011
财神,pc,2011-04-19,104,广东,2011
财神,pc,2011-04-20,101,广东,2011
财神,pc,2011-04-21,82,广东,2011
财神,pc,2011-04-22,97,广东,2011
财神,pc,2011-04-23,89,广东,2011
财神,pc,2011-04-24,97,广东,2011
财神,pc,2011-04-25,99,广东,2011
财神,pc,2011-04-26,97,广东,2011
财神,pc,2011-04-27,99,广东,2011
财神,pc,2011-04-28,125,广东,2011
财神,pc,2011-04-29,93,广东,2011
财神,pc,2011-04-30,87,广东,2011
财神,pc,2011-05-01,97,广东,2011
财神,pc,2011-05-02,106,广东,2011
财神,pc,2011-05-03,106,广东,2011
财神,pc,2011-05-04,101,广东,2011
财神,pc,2011-05-05,91,广东,2011
财神,pc,2011-05-06,108,广东,2011
财神,pc,2011-05-07,93,广东,2011
财神,pc,2011-05-08,82,广东,2011
财神,pc,2011-05-09,125,广东,2011
财神,pc,2011-05-10,97,广东,2011
财神,pc,2011-05-11,95,广东,2011
财神,pc,2011-05-12,101,广东,2011
财神,pc,2011-05-13,99,广东,2011
财神,pc,2011-05-14,104,广东,2011
财神,pc,2011-05-15,114,广东,2011
财神,pc,2011-05-16,112,广东,2011
财神,pc,2011-05-17,121,广东,2011
财神,pc,2011-05-18,89,广东,2011
财神,pc,2011-05-19,99,广东,2011
财神,pc,2011-05-20,102,广东,2011
财神,pc,2011-05-21,91,广东,2011
财神,pc,2011-05-22,93,广东,2011
财神,pc,2011-05-23,104,广东,2011
财神,pc,2011-05-24,97,广东,2011
财神,pc,2011-05-25,97,广东,2011
财神,pc,2011-05-26,97,广东,2011
财神,pc,2011-05-27,106,广东,2011
财神,pc,2011-05-28,101,广东,2011
财神,pc,2011-05-29,91,广东,2011
财神,pc,2011-05-30,101,广东,2011
财神,pc,2011-05-31,99,广东,2011
财神,pc,2011-06-01,95,广东,2011
财神,pc,2011-06-02,93,广东,2011
财神,pc,2011-06-03,91,广东,2011
财神,pc,2011-06-04,97,广东,2011
财神,pc,2011-06-05,97,广东,2011
财神,pc,2011-06-06,101,广东,2011
财神,pc,2011-06-07,102,广东,2011
财神,pc,2011-06-08,99,广东,2011
财神,pc,2011-06-09,93,广东,2011
财神,pc,2011-06-10,89,广东,2011
财神,pc,2011-06-11,87,广东,2011
财神,pc,2011-06-12,99,广东,2011
财神,pc,2011-06-13,101,广东,2011
财神,pc,2011-06-14,99,广东,2011
财神,pc,2011-06-15,97,广东,2011
财神,pc,2011-06-16,120,广东,2011
财神,pc,2011-06-17,99,广东,2011
财神,pc,2011-06-18,127,广东,2011
财神,pc,2011-06-19,116,广东,2011
财神,pc,2011-06-20,106,广东,2011
