keyword,type,date,index,province,year
财神,all,2011-01-01,0,新疆,2011
财神,all,2011-01-02,57,新疆,2011
财神,all,2011-01-03,0,新疆,2011
财神,all,2011-01-04,59,新疆,2011
财神,all,2011-01-05,57,新疆,2011
财神,all,2011-01-06,59,新疆,2011
财神,all,2011-01-07,57,新疆,2011
财神,all,2011-01-08,61,新疆,2011
财神,all,2011-01-09,63,新疆,2011
财神,all,2011-01-10,57,新疆,2011
财神,all,2011-01-11,57,新疆,2011
财神,all,2011-01-12,0,新疆,2011
财神,all,2011-01-13,59,新疆,2011
财神,all,2011-01-14,57,新疆,2011
财神,all,2011-01-15,59,新疆,2011
财神,all,2011-01-16,57,新疆,2011
财神,all,2011-01-17,63,新疆,2011
财神,all,2011-01-18,57,新疆,2011
财神,all,2011-01-19,59,新疆,2011
财神,all,2011-01-20,0,新疆,2011
财神,all,2011-01-21,0,新疆,2011
财神,all,2011-01-22,61,新疆,2011
财神,all,2011-01-23,61,新疆,2011
财神,all,2011-01-24,59,新疆,2011
财神,all,2011-01-25,59,新疆,2011
财神,all,2011-01-26,0,新疆,2011
财神,all,2011-01-27,59,新疆,2011
财神,all,2011-01-28,59,新疆,2011
财神,all,2011-01-29,64,新疆,2011
财神,all,2011-01-30,0,新疆,2011
财神,all,2011-01-31,59,新疆,2011
财神,all,2011-02-01,59,新疆,2011
财神,all,2011-02-02,68,新疆,2011
财神,all,2011-02-03,64,新疆,2011
财神,all,2011-02-04,63,新疆,2011
财神,all,2011-02-05,61,新疆,2011
财神,all,2011-02-06,59,新疆,2011
财神,all,2011-02-07,72,新疆,2011
财神,all,2011-02-08,59,新疆,2011
财神,all,2011-02-09,57,新疆,2011
财神,all,2011-02-10,59,新疆,2011
财神,all,2011-02-11,0,新疆,2011
财神,all,2011-02-12,57,新疆,2011
财神,all,2011-02-13,57,新疆,2011
财神,all,2011-02-14,59,新疆,2011
财神,all,2011-02-15,57,新疆,2011
财神,all,2011-02-16,63,新疆,2011
财神,all,2011-02-17,63,新疆,2011
财神,all,2011-02-18,57,新疆,2011
财神,all,2011-02-19,57,新疆,2011
财神,all,2011-02-20,0,新疆,2011
财神,all,2011-02-21,63,新疆,2011
财神,all,2011-02-22,59,新疆,2011
财神,all,2011-02-23,61,新疆,2011
财神,all,2011-02-24,57,新疆,2011
财神,all,2011-02-25,57,新疆,2011
财神,all,2011-02-26,0,新疆,2011
财神,all,2011-02-27,57,新疆,2011
财神,all,2011-02-28,57,新疆,2011
财神,all,2011-03-01,0,新疆,2011
财神,all,2011-03-02,61,新疆,2011
财神,all,2011-03-03,59,新疆,2011
财神,all,2011-03-04,57,新疆,2011
财神,all,2011-03-05,61,新疆,2011
财神,all,2011-03-06,57,新疆,2011
财神,all,2011-03-07,57,新疆,2011
财神,all,2011-03-08,0,新疆,2011
财神,all,2011-03-09,59,新疆,2011
财神,all,2011-03-10,57,新疆,2011
财神,all,2011-03-11,0,新疆,2011
财神,all,2011-03-12,61,新疆,2011
财神,all,2011-03-13,57,新疆,2011
财神,all,2011-03-14,0,新疆,2011
财神,all,2011-03-15,57,新疆,2011
财神,all,2011-03-16,57,新疆,2011
财神,all,2011-03-17,57,新疆,2011
财神,all,2011-03-18,57,新疆,2011
财神,all,2011-03-19,0,新疆,2011
财神,all,2011-03-20,57,新疆,2011
财神,all,2011-03-21,57,新疆,2011
财神,all,2011-03-22,0,新疆,2011
财神,all,2011-03-23,59,新疆,2011
财神,all,2011-03-24,57,新疆,2011
财神,all,2011-03-25,0,新疆,2011
财神,all,2011-03-26,0,新疆,2011
财神,all,2011-03-27,59,新疆,2011
财神,all,2011-03-28,57,新疆,2011
财神,all,2011-03-29,0,新疆,2011
财神,all,2011-03-30,61,新疆,2011
财神,all,2011-03-31,59,新疆,2011
财神,all,2011-04-01,61,新疆,2011
财神,all,2011-04-02,59,新疆,2011
财神,all,2011-04-03,0,新疆,2011
财神,all,2011-04-04,57,新疆,2011
财神,all,2011-04-05,63,新疆,2011
财神,all,2011-04-06,59,新疆,2011
财神,all,2011-04-07,59,新疆,2011
财神,all,2011-04-08,57,新疆,2011
财神,all,2011-04-09,64,新疆,2011
财神,all,2011-04-10,61,新疆,2011
财神,all,2011-04-11,59,新疆,2011
财神,all,2011-04-12,57,新疆,2011
财神,all,2011-04-13,59,新疆,2011
财神,all,2011-04-14,57,新疆,2011
财神,all,2011-04-15,59,新疆,2011
财神,all,2011-04-16,0,新疆,2011
财神,all,2011-04-17,59,新疆,2011
财神,all,2011-04-18,0,新疆,2011
财神,all,2011-04-19,0,新疆,2011
财神,all,2011-04-20,57,新疆,2011
财神,all,2011-04-21,57,新疆,2011
财神,all,2011-04-22,0,新疆,2011
财神,all,2011-04-23,57,新疆,2011
财神,all,2011-04-24,0,新疆,2011
财神,all,2011-04-25,0,新疆,2011
财神,all,2011-04-26,61,新疆,2011
财神,all,2011-04-27,63,新疆,2011
财神,all,2011-04-28,57,新疆,2011
财神,all,2011-04-29,57,新疆,2011
财神,all,2011-04-30,0,新疆,2011
财神,all,2011-05-01,64,新疆,2011
财神,all,2011-05-02,63,新疆,2011
财神,all,2011-05-03,59,新疆,2011
财神,all,2011-05-04,61,新疆,2011
财神,all,2011-05-05,59,新疆,2011
财神,all,2011-05-06,0,新疆,2011
财神,all,2011-05-07,57,新疆,2011
财神,all,2011-05-08,0,新疆,2011
财神,all,2011-05-09,57,新疆,2011
财神,all,2011-05-10,0,新疆,2011
财神,all,2011-05-11,61,新疆,2011
财神,all,2011-05-12,57,新疆,2011
财神,all,2011-05-13,0,新疆,2011
财神,all,2011-05-14,57,新疆,2011
财神,all,2011-05-15,57,新疆,2011
财神,all,2011-05-16,59,新疆,2011
财神,all,2011-05-17,57,新疆,2011
财神,all,2011-05-18,0,新疆,2011
财神,all,2011-05-19,0,新疆,2011
财神,all,2011-05-20,0,新疆,2011
