keyword,type,date,index,province,year
财神,all,2011-01-01,59,湖南,2011
财神,all,2011-01-02,66,湖南,2011
财神,all,2011-01-03,66,湖南,2011
财神,all,2011-01-04,82,湖南,2011
财神,all,2011-01-05,74,湖南,2011
财神,all,2011-01-06,63,湖南,2011
财神,all,2011-01-07,70,湖南,2011
财神,all,2011-01-08,66,湖南,2011
财神,all,2011-01-09,64,湖南,2011
财神,all,2011-01-10,74,湖南,2011
财神,all,2011-01-11,83,湖南,2011
财神,all,2011-01-12,80,湖南,2011
财神,all,2011-01-13,76,湖南,2011
财神,all,2011-01-14,76,湖南,2011
财神,all,2011-01-15,72,湖南,2011
财神,all,2011-01-16,70,湖南,2011
财神,all,2011-01-17,66,湖南,2011
财神,all,2011-01-18,70,湖南,2011
财神,all,2011-01-19,72,湖南,2011
财神,all,2011-01-20,78,湖南,2011
财神,all,2011-01-21,68,湖南,2011
财神,all,2011-01-22,64,湖南,2011
财神,all,2011-01-23,72,湖南,2011
财神,all,2011-01-24,57,湖南,2011
财神,all,2011-01-25,72,湖南,2011
财神,all,2011-01-26,72,湖南,2011
财神,all,2011-01-27,93,湖南,2011
财神,all,2011-01-28,68,湖南,2011
财神,all,2011-01-29,76,湖南,2011
财神,all,2011-01-30,66,湖南,2011
财神,all,2011-01-31,78,湖南,2011
财神,all,2011-02-01,74,湖南,2011
财神,all,2011-02-02,101,湖南,2011
财神,all,2011-02-03,91,湖南,2011
财神,all,2011-02-04,80,湖南,2011
财神,all,2011-02-05,78,湖南,2011
财神,all,2011-02-06,76,湖南,2011
财神,all,2011-02-07,129,湖南,2011
财神,all,2011-02-08,76,湖南,2011
财神,all,2011-02-09,74,湖南,2011
财神,all,2011-02-10,74,湖南,2011
财神,all,2011-02-11,85,湖南,2011
财神,all,2011-02-12,83,湖南,2011
财神,all,2011-02-13,70,湖南,2011
财神,all,2011-02-14,70,湖南,2011
财神,all,2011-02-15,66,湖南,2011
财神,all,2011-02-16,64,湖南,2011
财神,all,2011-02-17,76,湖南,2011
财神,all,2011-02-18,72,湖南,2011
财神,all,2011-02-19,63,湖南,2011
财神,all,2011-02-20,61,湖南,2011
财神,all,2011-02-21,74,湖南,2011
财神,all,2011-02-22,63,湖南,2011
财神,all,2011-02-23,72,湖南,2011
财神,all,2011-02-24,61,湖南,2011
财神,all,2011-02-25,64,湖南,2011
财神,all,2011-02-26,74,湖南,2011
财神,all,2011-02-27,66,湖南,2011
财神,all,2011-02-28,61,湖南,2011
财神,all,2011-03-01,63,湖南,2011
财神,all,2011-03-02,72,湖南,2011
财神,all,2011-03-03,61,湖南,2011
财神,all,2011-03-04,61,湖南,2011
财神,all,2011-03-05,66,湖南,2011
财神,all,2011-03-06,76,湖南,2011
财神,all,2011-03-07,72,湖南,2011
财神,all,2011-03-08,66,湖南,2011
财神,all,2011-03-09,57,湖南,2011
财神,all,2011-03-10,72,湖南,2011
财神,all,2011-03-11,72,湖南,2011
财神,all,2011-03-12,70,湖南,2011
财神,all,2011-03-13,59,湖南,2011
财神,all,2011-03-14,72,湖南,2011
财神,all,2011-03-15,59,湖南,2011
财神,all,2011-03-16,68,湖南,2011
财神,all,2011-03-17,63,湖南,2011
财神,all,2011-03-18,70,湖南,2011
财神,all,2011-03-19,61,湖南,2011
财神,all,2011-03-20,59,湖南,2011
财神,all,2011-03-21,70,湖南,2011
财神,all,2011-03-22,76,湖南,2011
财神,all,2011-03-23,70,湖南,2011
财神,all,2011-03-24,68,湖南,2011
财神,all,2011-03-25,78,湖南,2011
财神,all,2011-03-26,64,湖南,2011
财神,all,2011-03-27,63,湖南,2011
财神,all,2011-03-28,83,湖南,2011
财神,all,2011-03-29,61,湖南,2011
财神,all,2011-03-30,64,湖南,2011
财神,all,2011-03-31,61,湖南,2011
财神,all,2011-04-01,63,湖南,2011
财神,all,2011-04-02,66,湖南,2011
财神,all,2011-04-03,70,湖南,2011
财神,all,2011-04-04,66,湖南,2011
财神,all,2011-04-05,80,湖南,2011
