地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
广东,12656.8,12684.0,12601.251,11521.0,11346.0,11169.0,10999.0,10849.0,10724.0,10644.0,11041.0,10756.0,10441.0,10130.0,9893.0,9660.0,9442.0,9194.0,9111.0,8963.0
山东,10162.79,10169.99,10152.7453,10070.21,10047.0,10006.0,9947.0,9847.0,9789.0,9733.0,9708.0,9665.0,9588.0,9470.0,9417.0,9367.0,9309.0,9248.0,9180.0,9125.0
河南,9872.0,9883.0,9936.5519,9640.0,9605.0,9559.0,9532.0,9480.0,9436.0,9413.0,9532.0,9461.0,9405.0,9487.0,9429.0,9360.0,9392.0,9380.0,9717.0,9667.0
江苏,8515.0,8505.4,8474.8016,8070.0,8051.0,8029.0,7999.0,7976.0,7960.0,7939.0,8120.0,8023.0,7869.0,7810.0,7762.0,7723.0,7656.0,7588.0,7523.0,7458.0
四川,8374.0,8372.0,8367.4866,8375.0,8341.0,8302.0,8262.0,8204.0,8140.0,8107.0,8085.0,8064.0,8045.0,8185.0,8138.0,8127.0,8169.0,8212.0,8090.0,8176.0
河北,7420.0,7448.0,7461.0235,7591.97,7556.0,7520.0,7470.0,7425.0,7384.0,7333.0,7262.0,7232.0,7194.0,7034.0,6989.0,6943.0,6898.0,6851.0,6809.0,6769.0
湖南,6604.0,6622.0,6644.4864,6918.4,6899.0,6860.0,6822.0,6783.0,6737.0,6691.0,6590.0,6581.0,6570.0,6406.0,6380.0,6355.0,6342.0,6326.0,6698.0,6663.0
浙江,6577.0,6540.0,6456.7588,5850.0,5737.0,5657.0,5590.0,5539.0,5508.0,5498.0,5685.0,5570.0,5447.0,5276.0,5212.0,5155.0,5072.0,4991.0,4925.0,4857.0
安徽,6127.0,6113.0,6102.7171,6365.9,6324.0,6255.0,6196.0,6144.0,6083.0,6030.0,5978.0,5972.0,5957.0,6131.0,6135.0,6118.0,6110.0,6120.0,6228.0,6163.0
湖北,5844.0,5830.0,5775.2557,5927.0,5917.0,5902.0,5885.0,5852.0,5816.0,5799.0,5781.0,5760.0,5728.0,5720.0,5711.0,5699.0,5693.0,5710.0,5698.0,5685.0
广西,5047.0,5037.0,5012.6804,4960.0,4926.0,4885.0,4838.0,4796.0,4754.0,4719.0,4694.0,4655.0,4610.0,4856.0,4816.0,4768.0,4719.0,4660.0,4889.0,4857.0
云南,4693.0,4690.0,4720.9277,4858.3,4830.0,4801.0,4771.0,4742.0,4714.0,4687.0,4631.0,4620.0,4602.0,4571.0,4543.0,4514.0,4483.0,4450.0,4415.0,4376.0
江西,4527.98,4517.4,4518.8635,4666.1,4648.0,4622.0,4592.0,4566.0,4542.0,4522.0,4475.0,4474.0,4462.0,4432.0,4400.0,4368.0,4339.0,4311.0,4284.0,4254.0
辽宁,4197.0,4229.4,4259.1407,4351.7,4359.0,4369.0,4378.0,4382.0,4391.0,4390.0,4375.0,4379.0,4375.0,4341.0,4315.0,4298.0,4271.0,4221.0,4217.0,4210.0
福建,4188.0,4187.0,4154.0086,3973.0,3941.0,3911.0,3874.0,3839.0,3806.0,3774.0,3841.0,3784.0,3693.0,3666.0,3639.0,3612.0,3585.0,3557.0,3529.0,3502.0
