keyword,type,date,index,province,year
财神,all,2011-01-01,72,云南,2011
财神,all,2011-01-02,57,云南,2011
财神,all,2011-01-03,57,云南,2011
财神,all,2011-01-04,59,云南,2011
财神,all,2011-01-05,68,云南,2011
财神,all,2011-01-06,63,云南,2011
财神,all,2011-01-07,64,云南,2011
财神,all,2011-01-08,61,云南,2011
财神,all,2011-01-09,57,云南,2011
财神,all,2011-01-10,64,云南,2011
财神,all,2011-01-11,64,云南,2011
财神,all,2011-01-12,0,云南,2011
财神,all,2011-01-13,61,云南,2011
财神,all,2011-01-14,63,云南,2011
财神,all,2011-01-15,64,云南,2011
财神,all,2011-01-16,57,云南,2011
财神,all,2011-01-17,61,云南,2011
财神,all,2011-01-18,59,云南,2011
财神,all,2011-01-19,63,云南,2011
财神,all,2011-01-20,59,云南,2011
财神,all,2011-01-21,57,云南,2011
财神,all,2011-01-22,59,云南,2011
财神,all,2011-01-23,57,云南,2011
财神,all,2011-01-24,61,云南,2011
财神,all,2011-01-25,57,云南,2011
财神,all,2011-01-26,59,云南,2011
财神,all,2011-01-27,57,云南,2011
财神,all,2011-01-28,63,云南,2011
财神,all,2011-01-29,57,云南,2011
财神,all,2011-01-30,63,云南,2011
财神,all,2011-01-31,57,云南,2011
财神,all,2011-02-01,59,云南,2011
财神,all,2011-02-02,74,云南,2011
财神,all,2011-02-03,68,云南,2011
财神,all,2011-02-04,68,云南,2011
财神,all,2011-02-05,70,云南,2011
财神,all,2011-02-06,61,云南,2011
财神,all,2011-02-07,95,云南,2011
财神,all,2011-02-08,64,云南,2011
财神,all,2011-02-09,61,云南,2011
财神,all,2011-02-10,66,云南,2011
财神,all,2011-02-11,57,云南,2011
财神,all,2011-02-12,61,云南,2011
财神,all,2011-02-13,57,云南,2011
财神,all,2011-02-14,61,云南,2011
财神,all,2011-02-15,61,云南,2011
财神,all,2011-02-16,57,云南,2011
财神,all,2011-02-17,57,云南,2011
财神,all,2011-02-18,59,云南,2011
财神,all,2011-02-19,59,云南,2011
财神,all,2011-02-20,59,云南,2011
财神,all,2011-02-21,80,云南,2011
财神,all,2011-02-22,63,云南,2011
财神,all,2011-02-23,66,云南,2011
财神,all,2011-02-24,61,云南,2011
财神,all,2011-02-25,61,云南,2011
财神,all,2011-02-26,64,云南,2011
财神,all,2011-02-27,66,云南,2011
财神,all,2011-02-28,61,云南,2011
财神,all,2011-03-01,57,云南,2011
财神,all,2011-03-02,64,云南,2011
财神,all,2011-03-03,63,云南,2011
财神,all,2011-03-04,59,云南,2011
财神,all,2011-03-05,63,云南,2011
财神,all,2011-03-06,64,云南,2011
财神,all,2011-03-07,63,云南,2011
财神,all,2011-03-08,64,云南,2011
财神,all,2011-03-09,63,云南,2011
财神,all,2011-03-10,61,云南,2011
财神,all,2011-03-11,57,云南,2011
财神,all,2011-03-12,59,云南,2011
财神,all,2011-03-13,59,云南,2011
财神,all,2011-03-14,63,云南,2011
财神,all,2011-03-15,57,云南,2011
财神,all,2011-03-16,61,云南,2011
财神,all,2011-03-17,59,云南,2011
财神,all,2011-03-18,63,云南,2011
财神,all,2011-03-19,63,云南,2011
财神,all,2011-03-20,59,云南,2011
财神,all,2011-03-21,59,云南,2011
财神,all,2011-03-22,57,云南,2011
财神,all,2011-03-23,66,云南,2011
财神,all,2011-03-24,64,云南,2011
财神,all,2011-03-25,59,云南,2011
财神,all,2011-03-26,59,云南,2011
财神,all,2011-03-27,64,云南,2011
财神,all,2011-03-28,59,云南,2011
财神,all,2011-03-29,68,云南,2011
财神,all,2011-03-30,59,云南,2011
财神,all,2011-03-31,59,云南,2011
财神,all,2011-04-01,0,云南,2011
财神,all,2011-04-02,61,云南,2011
财神,all,2011-04-03,57,云南,2011
财神,all,2011-04-04,63,云南,2011
财神,all,2011-04-05,63,云南,2011
财神,all,2011-04-06,61,云南,2011
财神,all,2011-04-07,63,云南,2011
财神,all,2011-04-08,57,云南,2011
财神,all,2011-04-09,59,云南,2011
财神,all,2011-04-10,59,云南,2011
财神,all,2011-04-11,59,云南,2011
财神,all,2011-04-12,61,云南,2011
财神,all,2011-04-13,64,云南,2011
财神,all,2011-04-14,63,云南,2011
财神,all,2011-04-15,61,云南,2011
财神,all,2011-04-16,57,云南,2011
财神,all,2011-04-17,59,云南,2011
财神,all,2011-04-18,64,云南,2011
财神,all,2011-04-19,63,云南,2011
财神,all,2011-04-20,59,云南,2011
财神,all,2011-04-21,61,云南,2011
财神,all,2011-04-22,64,云南,2011
财神,all,2011-04-23,57,云南,2011
财神,all,2011-04-24,59,云南,2011
财神,all,2011-04-25,63,云南,2011
财神,all,2011-04-26,61,云南,2011
财神,all,2011-04-27,63,云南,2011
财神,all,2011-04-28,64,云南,2011
财神,all,2011-04-29,61,云南,2011
财神,all,2011-04-30,59,云南,2011
财神,all,2011-05-01,59,云南,2011
财神,all,2011-05-02,64,云南,2011
财神,all,2011-05-03,61,云南,2011
财神,all,2011-05-04,64,云南,2011
财神,all,2011-05-05,57,云南,2011
财神,all,2011-05-06,63,云南,2011
财神,all,2011-05-07,59,云南,2011
财神,all,2011-05-08,57,云南,2011
财神,all,2011-05-09,64,云南,2011
财神,all,2011-05-10,59,云南,2011
财神,all,2011-05-11,66,云南,2011
财神,all,2011-05-12,64,云南,2011
财神,all,2011-05-13,59,云南,2011
财神,all,2011-05-14,63,云南,2011
财神,all,2011-05-15,57,云南,2011
财神,all,2011-05-16,63,云南,2011
财神,all,2011-05-17,0,云南,2011
财神,all,2011-05-18,64,云南,2011
财神,all,2011-05-19,59,云南,2011
财神,all,2011-05-20,57,云南,2011
财神,all,2011-05-21,64,云南,2011
财神,all,2011-05-22,57,云南,2011
财神,all,2011-05-23,61,云南,2011
财神,all,2011-05-24,57,云南,2011
财神,all,2011-05-25,64,云南,2011
财神,all,2011-05-26,61,云南,2011
财神,all,2011-05-27,61,云南,2011
财神,all,2011-05-28,63,云南,2011
财神,all,2011-05-29,0,云南,2011
财神,all,2011-05-30,57,云南,2011
财神,all,2011-05-31,59,云南,2011
财神,all,2011-06-01,64,云南,2011
财神,all,2011-06-02,59,云南,2011
财神,all,2011-06-03,61,云南,2011
财神,all,2011-06-04,59,云南,2011
财神,all,2011-06-05,66,云南,2011
财神,all,2011-06-06,63,云南,2011
财神,all,2011-06-07,64,云南,2011
财神,all,2011-06-08,57,云南,2011
财神,all,2011-06-09,66,云南,2011
财神,all,2011-06-10,68,云南,2011
财神,all,2011-06-11,61,云南,2011
