keyword,type,date,index,province,year
财神,all,2011-01-01,63,内蒙古,2011
财神,all,2011-01-02,63,内蒙古,2011
财神,all,2011-01-03,63,内蒙古,2011
财神,all,2011-01-04,63,内蒙古,2011
财神,all,2011-01-05,70,内蒙古,2011
财神,all,2011-01-06,63,内蒙古,2011
财神,all,2011-01-07,59,内蒙古,2011
财神,all,2011-01-08,63,内蒙古,2011
财神,all,2011-01-09,61,内蒙古,2011
财神,all,2011-01-10,59,内蒙古,2011
财神,all,2011-01-11,61,内蒙古,2011
财神,all,2011-01-12,63,内蒙古,2011
财神,all,2011-01-13,68,内蒙古,2011
财神,all,2011-01-14,64,内蒙古,2011
财神,all,2011-01-15,61,内蒙古,2011
财神,all,2011-01-16,66,内蒙古,2011
财神,all,2011-01-17,61,内蒙古,2011
财神,all,2011-01-18,61,内蒙古,2011
财神,all,2011-01-19,66,内蒙古,2011
财神,all,2011-01-20,66,内蒙古,2011
财神,all,2011-01-21,64,内蒙古,2011
财神,all,2011-01-22,61,内蒙古,2011
财神,all,2011-01-23,64,内蒙古,2011
财神,all,2011-01-24,68,内蒙古,2011
财神,all,2011-01-25,64,内蒙古,2011
财神,all,2011-01-26,70,内蒙古,2011
财神,all,2011-01-27,72,内蒙古,2011
财神,all,2011-01-28,78,内蒙古,2011
财神,all,2011-01-29,64,内蒙古,2011
财神,all,2011-01-30,64,内蒙古,2011
财神,all,2011-01-31,63,内蒙古,2011
财神,all,2011-02-01,80,内蒙古,2011
财神,all,2011-02-02,99,内蒙古,2011
财神,all,2011-02-03,83,内蒙古,2011
财神,all,2011-02-04,89,内蒙古,2011
财神,all,2011-02-05,61,内蒙古,2011
财神,all,2011-02-06,72,内蒙古,2011
财神,all,2011-02-07,99,内蒙古,2011
财神,all,2011-02-08,74,内蒙古,2011
财神,all,2011-02-09,68,内蒙古,2011
财神,all,2011-02-10,72,内蒙古,2011
财神,all,2011-02-11,74,内蒙古,2011
财神,all,2011-02-12,64,内蒙古,2011
财神,all,2011-02-13,63,内蒙古,2011
财神,all,2011-02-14,74,内蒙古,2011
财神,all,2011-02-15,70,内蒙古,2011
财神,all,2011-02-16,63,内蒙古,2011
财神,all,2011-02-17,64,内蒙古,2011
财神,all,2011-02-18,66,内蒙古,2011
财神,all,2011-02-19,59,内蒙古,2011
财神,all,2011-02-20,61,内蒙古,2011
财神,all,2011-02-21,68,内蒙古,2011
财神,all,2011-02-22,64,内蒙古,2011
财神,all,2011-02-23,68,内蒙古,2011
财神,all,2011-02-24,59,内蒙古,2011
财神,all,2011-02-25,59,内蒙古,2011
财神,all,2011-02-26,66,内蒙古,2011
财神,all,2011-02-27,0,内蒙古,2011
财神,all,2011-02-28,57,内蒙古,2011
财神,all,2011-03-01,57,内蒙古,2011
财神,all,2011-03-02,66,内蒙古,2011
财神,all,2011-03-03,59,内蒙古,2011
财神,all,2011-03-04,59,内蒙古,2011
财神,all,2011-03-05,74,内蒙古,2011
财神,all,2011-03-06,61,内蒙古,2011
财神,all,2011-03-07,61,内蒙古,2011
财神,all,2011-03-08,57,内蒙古,2011
财神,all,2011-03-09,61,内蒙古,2011
财神,all,2011-03-10,59,内蒙古,2011
财神,all,2011-03-11,57,内蒙古,2011
财神,all,2011-03-12,63,内蒙古,2011
财神,all,2011-03-13,59,内蒙古,2011
财神,all,2011-03-14,61,内蒙古,2011
财神,all,2011-03-15,61,内蒙古,2011
财神,all,2011-03-16,66,内蒙古,2011
财神,all,2011-03-17,57,内蒙古,2011
财神,all,2011-03-18,61,内蒙古,2011
财神,all,2011-03-19,63,内蒙古,2011
财神,all,2011-03-20,57,内蒙古,2011
财神,all,2011-03-21,68,内蒙古,2011
财神,all,2011-03-22,59,内蒙古,2011
财神,all,2011-03-23,61,内蒙古,2011
财神,all,2011-03-24,57,内蒙古,2011
财神,all,2011-03-25,63,内蒙古,2011
财神,all,2011-03-26,59,内蒙古,2011
财神,all,2011-03-27,61,内蒙古,2011
财神,all,2011-03-28,64,内蒙古,2011
财神,all,2011-03-29,64,内蒙古,2011
财神,all,2011-03-30,61,内蒙古,2011
财神,all,2011-03-31,61,内蒙古,2011
财神,all,2011-04-01,57,内蒙古,2011
财神,all,2011-04-02,63,内蒙古,2011
财神,all,2011-04-03,57,内蒙古,2011
财神,all,2011-04-04,70,内蒙古,2011
财神,all,2011-04-05,61,内蒙古,2011
财神,all,2011-04-06,74,内蒙古,2011
财神,all,2011-04-07,0,内蒙古,2011
财神,all,2011-04-08,59,内蒙古,2011
财神,all,2011-04-09,0,内蒙古,2011
财神,all,2011-04-10,61,内蒙古,2011
财神,all,2011-04-11,0,内蒙古,2011
财神,all,2011-04-12,57,内蒙古,2011
财神,all,2011-04-13,61,内蒙古,2011
财神,all,2011-04-14,63,内蒙古,2011
财神,all,2011-04-15,57,内蒙古,2011
财神,all,2011-04-16,59,内蒙古,2011
财神,all,2011-04-17,61,内蒙古,2011
财神,all,2011-04-18,66,内蒙古,2011
财神,all,2011-04-19,63,内蒙古,2011
财神,all,2011-04-20,61,内蒙古,2011
财神,all,2011-04-21,64,内蒙古,2011
财神,all,2011-04-22,63,内蒙古,2011
财神,all,2011-04-23,72,内蒙古,2011
财神,all,2011-04-24,57,内蒙古,2011
财神,all,2011-04-25,68,内蒙古,2011
财神,all,2011-04-26,66,内蒙古,2011
财神,all,2011-04-27,57,内蒙古,2011
财神,all,2011-04-28,61,内蒙古,2011
财神,all,2011-04-29,57,内蒙古,2011
