keyword,type,date,index,province,year
财神,all,2011-01-01,72,山西,2011
财神,all,2011-01-02,59,山西,2011
财神,all,2011-01-03,66,山西,2011
财神,all,2011-01-04,68,山西,2011
财神,all,2011-01-05,64,山西,2011
财神,all,2011-01-06,85,山西,2011
财神,all,2011-01-07,93,山西,2011
财神,all,2011-01-08,68,山西,2011
财神,all,2011-01-09,76,山西,2011
财神,all,2011-01-10,74,山西,2011
财神,all,2011-01-11,76,山西,2011
财神,all,2011-01-12,68,山西,2011
财神,all,2011-01-13,82,山西,2011
财神,all,2011-01-14,82,山西,2011
财神,all,2011-01-15,80,山西,2011
财神,all,2011-01-16,85,山西,2011
财神,all,2011-01-17,80,山西,2011
财神,all,2011-01-18,70,山西,2011
财神,all,2011-01-19,93,山西,2011
财神,all,2011-01-20,70,山西,2011
财神,all,2011-01-21,78,山西,2011
财神,all,2011-01-22,76,山西,2011
财神,all,2011-01-23,82,山西,2011
财神,all,2011-01-24,72,山西,2011
财神,all,2011-01-25,87,山西,2011
财神,all,2011-01-26,99,山西,2011
财神,all,2011-01-27,101,山西,2011
财神,all,2011-01-28,83,山西,2011
财神,all,2011-01-29,76,山西,2011
财神,all,2011-01-30,87,山西,2011
财神,all,2011-01-31,110,山西,2011
财神,all,2011-02-01,91,山西,2011
财神,all,2011-02-02,118,山西,2011
财神,all,2011-02-03,129,山西,2011
财神,all,2011-02-04,99,山西,2011
财神,all,2011-02-05,89,山西,2011
财神,all,2011-02-06,104,山西,2011
财神,all,2011-02-07,131,山西,2011
财神,all,2011-02-08,95,山西,2011
财神,all,2011-02-09,82,山西,2011
财神,all,2011-02-10,99,山西,2011
财神,all,2011-02-11,78,山西,2011
财神,all,2011-02-12,89,山西,2011
财神,all,2011-02-13,93,山西,2011
财神,all,2011-02-14,87,山西,2011
财神,all,2011-02-15,82,山西,2011
财神,all,2011-02-16,74,山西,2011
财神,all,2011-02-17,95,山西,2011
财神,all,2011-02-18,80,山西,2011
财神,all,2011-02-19,66,山西,2011
财神,all,2011-02-20,64,山西,2011
财神,all,2011-02-21,68,山西,2011
财神,all,2011-02-22,72,山西,2011
财神,all,2011-02-23,89,山西,2011
财神,all,2011-02-24,82,山西,2011
财神,all,2011-02-25,80,山西,2011
财神,all,2011-02-26,80,山西,2011
财神,all,2011-02-27,82,山西,2011
财神,all,2011-02-28,74,山西,2011
财神,all,2011-03-01,70,山西,2011
财神,all,2011-03-02,76,山西,2011
财神,all,2011-03-03,68,山西,2011
财神,all,2011-03-04,63,山西,2011
财神,all,2011-03-05,87,山西,2011
财神,all,2011-03-06,66,山西,2011
财神,all,2011-03-07,93,山西,2011
财神,all,2011-03-08,68,山西,2011
财神,all,2011-03-09,80,山西,2011
财神,all,2011-03-10,64,山西,2011
财神,all,2011-03-11,72,山西,2011
财神,all,2011-03-12,64,山西,2011
财神,all,2011-03-13,74,山西,2011
财神,all,2011-03-14,74,山西,2011
财神,all,2011-03-15,70,山西,2011
财神,all,2011-03-16,70,山西,2011
财神,all,2011-03-17,85,山西,2011
财神,all,2011-03-18,66,山西,2011
财神,all,2011-03-19,72,山西,2011
财神,all,2011-03-20,70,山西,2011
财神,all,2011-03-21,76,山西,2011
财神,all,2011-03-22,76,山西,2011
财神,all,2011-03-23,66,山西,2011
财神,all,2011-03-24,64,山西,2011
财神,all,2011-03-25,68,山西,2011
财神,all,2011-03-26,70,山西,2011
财神,all,2011-03-27,72,山西,2011
财神,all,2011-03-28,80,山西,2011
财神,all,2011-03-29,66,山西,2011
财神,all,2011-03-30,66,山西,2011
财神,all,2011-03-31,64,山西,2011
财神,all,2011-04-01,83,山西,2011
财神,all,2011-04-02,70,山西,2011
财神,all,2011-04-03,70,山西,2011
财神,all,2011-04-04,74,山西,2011
财神,all,2011-04-05,59,山西,2011
财神,all,2011-04-06,76,山西,2011
财神,all,2011-04-07,70,山西,2011
财神,all,2011-04-08,70,山西,2011
财神,all,2011-04-09,74,山西,2011
财神,all,2011-04-10,72,山西,2011
财神,all,2011-04-11,72,山西,2011
财神,all,2011-04-12,68,山西,2011
财神,all,2011-04-13,76,山西,2011
财神,all,2011-04-14,64,山西,2011
财神,all,2011-04-15,85,山西,2011
财神,all,2011-04-16,63,山西,2011
财神,all,2011-04-17,76,山西,2011
财神,all,2011-04-18,64,山西,2011
财神,all,2011-04-19,82,山西,2011
财神,all,2011-04-20,74,山西,2011
财神,all,2011-04-21,80,山西,2011
财神,all,2011-04-22,64,山西,2011
财神,all,2011-04-23,61,山西,2011
财神,all,2011-04-24,72,山西,2011
财神,all,2011-04-25,78,山西,2011
财神,all,2011-04-26,68,山西,2011
财神,all,2011-04-27,72,山西,2011
财神,all,2011-04-28,61,山西,2011
财神,all,2011-04-29,82,山西,2011
财神,all,2011-04-30,76,山西,2011
财神,all,2011-05-01,68,山西,2011
财神,all,2011-05-02,78,山西,2011
财神,all,2011-05-03,66,山西,2011
财神,all,2011-05-04,70,山西,2011
财神,all,2011-05-05,74,山西,2011
财神,all,2011-05-06,76,山西,2011
财神,all,2011-05-07,85,山西,2011
财神,all,2011-05-08,91,山西,2011
财神,all,2011-05-09,76,山西,2011
财神,all,2011-05-10,76,山西,2011
