keyword,type,date,index,province,year
财神,all,2011-01-01,72,广西,2011
财神,all,2011-01-02,64,广西,2011
财神,all,2011-01-03,68,广西,2011
财神,all,2011-01-04,72,广西,2011
财神,all,2011-01-05,74,广西,2011
财神,all,2011-01-06,66,广西,2011
财神,all,2011-01-07,68,广西,2011
财神,all,2011-01-08,70,广西,2011
财神,all,2011-01-09,78,广西,2011
财神,all,2011-01-10,74,广西,2011
财神,all,2011-01-11,61,广西,2011
财神,all,2011-01-12,68,广西,2011
财神,all,2011-01-13,59,广西,2011
财神,all,2011-01-14,59,广西,2011
财神,all,2011-01-15,70,广西,2011
财神,all,2011-01-16,61,广西,2011
财神,all,2011-01-17,0,广西,2011
财神,all,2011-01-18,63,广西,2011
财神,all,2011-01-19,57,广西,2011
财神,all,2011-01-20,63,广西,2011
财神,all,2011-01-21,68,广西,2011
财神,all,2011-01-22,64,广西,2011
财神,all,2011-01-23,74,广西,2011
财神,all,2011-01-24,66,广西,2011
财神,all,2011-01-25,61,广西,2011
财神,all,2011-01-26,63,广西,2011
财神,all,2011-01-27,74,广西,2011
财神,all,2011-01-28,76,广西,2011
财神,all,2011-01-29,64,广西,2011
财神,all,2011-01-30,72,广西,2011
财神,all,2011-01-31,68,广西,2011
财神,all,2011-02-01,74,广西,2011
财神,all,2011-02-02,89,广西,2011
财神,all,2011-02-03,131,广西,2011
财神,all,2011-02-04,89,广西,2011
财神,all,2011-02-05,72,广西,2011
财神,all,2011-02-06,82,广西,2011
财神,all,2011-02-07,99,广西,2011
财神,all,2011-02-08,87,广西,2011
财神,all,2011-02-09,74,广西,2011
财神,all,2011-02-10,63,广西,2011
财神,all,2011-02-11,68,广西,2011
财神,all,2011-02-12,74,广西,2011
财神,all,2011-02-13,66,广西,2011
财神,all,2011-02-14,76,广西,2011
财神,all,2011-02-15,64,广西,2011
财神,all,2011-02-16,68,广西,2011
财神,all,2011-02-17,66,广西,2011
财神,all,2011-02-18,64,广西,2011
财神,all,2011-02-19,64,广西,2011
财神,all,2011-02-20,61,广西,2011
财神,all,2011-02-21,57,广西,2011
财神,all,2011-02-22,72,广西,2011
财神,all,2011-02-23,61,广西,2011
财神,all,2011-02-24,80,广西,2011
财神,all,2011-02-25,61,广西,2011
财神,all,2011-02-26,63,广西,2011
财神,all,2011-02-27,59,广西,2011
财神,all,2011-02-28,64,广西,2011
财神,all,2011-03-01,59,广西,2011
财神,all,2011-03-02,61,广西,2011
财神,all,2011-03-03,61,广西,2011
财神,all,2011-03-04,61,广西,2011
财神,all,2011-03-05,80,广西,2011
财神,all,2011-03-06,64,广西,2011
财神,all,2011-03-07,66,广西,2011
财神,all,2011-03-08,64,广西,2011
财神,all,2011-03-09,61,广西,2011
财神,all,2011-03-10,57,广西,2011
财神,all,2011-03-11,57,广西,2011
财神,all,2011-03-12,59,广西,2011
财神,all,2011-03-13,61,广西,2011
财神,all,2011-03-14,64,广西,2011
财神,all,2011-03-15,64,广西,2011
财神,all,2011-03-16,61,广西,2011
财神,all,2011-03-17,61,广西,2011
财神,all,2011-03-18,61,广西,2011
财神,all,2011-03-19,63,广西,2011
财神,all,2011-03-20,57,广西,2011
