keyword,type,date,index,province,year
财神,all,2011-01-01,83,河南,2011
财神,all,2011-01-02,89,河南,2011
财神,all,2011-01-03,116,河南,2011
财神,all,2011-01-04,78,河南,2011
财神,all,2011-01-05,93,河南,2011
财神,all,2011-01-06,99,河南,2011
财神,all,2011-01-07,91,河南,2011
财神,all,2011-01-08,85,河南,2011
财神,all,2011-01-09,118,河南,2011
财神,all,2011-01-10,97,河南,2011
财神,all,2011-01-11,87,河南,2011
财神,all,2011-01-12,102,河南,2011
财神,all,2011-01-13,87,河南,2011
财神,all,2011-01-14,93,河南,2011
财神,all,2011-01-15,80,河南,2011
财神,all,2011-01-16,102,河南,2011
财神,all,2011-01-17,104,河南,2011
财神,all,2011-01-18,78,河南,2011
财神,all,2011-01-19,74,河南,2011
财神,all,2011-01-20,97,河南,2011
财神,all,2011-01-21,80,河南,2011
财神,all,2011-01-22,99,河南,2011
财神,all,2011-01-23,104,河南,2011
财神,all,2011-01-24,102,河南,2011
财神,all,2011-01-25,89,河南,2011
财神,all,2011-01-26,120,河南,2011
财神,all,2011-01-27,112,河南,2011
财神,all,2011-01-28,91,河南,2011
财神,all,2011-01-29,99,河南,2011
财神,all,2011-01-30,93,河南,2011
财神,all,2011-01-31,89,河南,2011
财神,all,2011-02-01,106,河南,2011
财神,all,2011-02-02,139,河南,2011
财神,all,2011-02-03,120,河南,2011
财神,all,2011-02-04,85,河南,2011
财神,all,2011-02-05,106,河南,2011
财神,all,2011-02-06,163,河南,2011
财神,all,2011-02-07,150,河南,2011
财神,all,2011-02-08,127,河南,2011
财神,all,2011-02-09,120,河南,2011
财神,all,2011-02-10,114,河南,2011
财神,all,2011-02-11,116,河南,2011
财神,all,2011-02-12,118,河南,2011
财神,all,2011-02-13,91,河南,2011
财神,all,2011-02-14,99,河南,2011
财神,all,2011-02-15,112,河南,2011
财神,all,2011-02-16,83,河南,2011
财神,all,2011-02-17,78,河南,2011
财神,all,2011-02-18,89,河南,2011
财神,all,2011-02-19,89,河南,2011
财神,all,2011-02-20,95,河南,2011
财神,all,2011-02-21,110,河南,2011
财神,all,2011-02-22,121,河南,2011
财神,all,2011-02-23,93,河南,2011
财神,all,2011-02-24,99,河南,2011
财神,all,2011-02-25,104,河南,2011
财神,all,2011-02-26,93,河南,2011
财神,all,2011-02-27,112,河南,2011
财神,all,2011-02-28,80,河南,2011
财神,all,2011-03-01,83,河南,2011
财神,all,2011-03-02,83,河南,2011
财神,all,2011-03-03,85,河南,2011
财神,all,2011-03-04,91,河南,2011
财神,all,2011-03-05,97,河南,2011
财神,all,2011-03-06,102,河南,2011
财神,all,2011-03-07,78,河南,2011
财神,all,2011-03-08,82,河南,2011
财神,all,2011-03-09,76,河南,2011
财神,all,2011-03-10,101,河南,2011
财神,all,2011-03-11,93,河南,2011
财神,all,2011-03-12,89,河南,2011
财神,all,2011-03-13,85,河南,2011
财神,all,2011-03-14,85,河南,2011
财神,all,2011-03-15,63,河南,2011
财神,all,2011-03-16,80,河南,2011
