keyword,type,date,index,province,year
财神,all,2011-01-01,66,贵州,2011
财神,all,2011-01-02,59,贵州,2011
财神,all,2011-01-03,57,贵州,2011
财神,all,2011-01-04,59,贵州,2011
财神,all,2011-01-05,63,贵州,2011
财神,all,2011-01-06,66,贵州,2011
财神,all,2011-01-07,63,贵州,2011
财神,all,2011-01-08,61,贵州,2011
财神,all,2011-01-09,63,贵州,2011
财神,all,2011-01-10,0,贵州,2011
财神,all,2011-01-11,57,贵州,2011
财神,all,2011-01-12,63,贵州,2011
财神,all,2011-01-13,57,贵州,2011
财神,all,2011-01-14,63,贵州,2011
财神,all,2011-01-15,57,贵州,2011
财神,all,2011-01-16,57,贵州,2011
财神,all,2011-01-17,0,贵州,2011
财神,all,2011-01-18,59,贵州,2011
财神,all,2011-01-19,64,贵州,2011
财神,all,2011-01-20,57,贵州,2011
财神,all,2011-01-21,57,贵州,2011
财神,all,2011-01-22,61,贵州,2011
财神,all,2011-01-23,61,贵州,2011
财神,all,2011-01-24,57,贵州,2011
财神,all,2011-01-25,61,贵州,2011
财神,all,2011-01-26,63,贵州,2011
财神,all,2011-01-27,63,贵州,2011
财神,all,2011-01-28,0,贵州,2011
财神,all,2011-01-29,59,贵州,2011
财神,all,2011-01-30,63,贵州,2011
财神,all,2011-01-31,64,贵州,2011
财神,all,2011-02-01,64,贵州,2011
财神,all,2011-02-02,64,贵州,2011
财神,all,2011-02-03,63,贵州,2011
财神,all,2011-02-04,61,贵州,2011
财神,all,2011-02-05,59,贵州,2011
财神,all,2011-02-06,64,贵州,2011
财神,all,2011-02-07,80,贵州,2011
财神,all,2011-02-08,66,贵州,2011
财神,all,2011-02-09,59,贵州,2011
财神,all,2011-02-10,57,贵州,2011
财神,all,2011-02-11,64,贵州,2011
财神,all,2011-02-12,59,贵州,2011
财神,all,2011-02-13,59,贵州,2011
财神,all,2011-02-14,59,贵州,2011
财神,all,2011-02-15,57,贵州,2011
财神,all,2011-02-16,0,贵州,2011
财神,all,2011-02-17,63,贵州,2011
财神,all,2011-02-18,59,贵州,2011
财神,all,2011-02-19,61,贵州,2011
财神,all,2011-02-20,61,贵州,2011
财神,all,2011-02-21,63,贵州,2011
财神,all,2011-02-22,61,贵州,2011
财神,all,2011-02-23,61,贵州,2011
财神,all,2011-02-24,61,贵州,2011
财神,all,2011-02-25,68,贵州,2011
财神,all,2011-02-26,57,贵州,2011
财神,all,2011-02-27,0,贵州,2011
财神,all,2011-02-28,63,贵州,2011
财神,all,2011-03-01,0,贵州,2011
财神,all,2011-03-02,0,贵州,2011
财神,all,2011-03-03,0,贵州,2011
财神,all,2011-03-04,57,贵州,2011
财神,all,2011-03-05,59,贵州,2011
财神,all,2011-03-06,61,贵州,2011
财神,all,2011-03-07,61,贵州,2011
财神,all,2011-03-08,0,贵州,2011
财神,all,2011-03-09,61,贵州,2011
财神,all,2011-03-10,59,贵州,2011
财神,all,2011-03-11,0,贵州,2011
财神,all,2011-03-12,63,贵州,2011
财神,all,2011-03-13,61,贵州,2011
财神,all,2011-03-14,57,贵州,2011
财神,all,2011-03-15,61,贵州,2011
财神,all,2011-03-16,57,贵州,2011
财神,all,2011-03-17,59,贵州,2011
财神,all,2011-03-18,57,贵州,2011
财神,all,2011-03-19,0,贵州,2011
财神,all,2011-03-20,57,贵州,2011
财神,all,2011-03-21,59,贵州,2011
财神,all,2011-03-22,59,贵州,2011
财神,all,2011-03-23,57,贵州,2011
财神,all,2011-03-24,59,贵州,2011
财神,all,2011-03-25,57,贵州,2011
财神,all,2011-03-26,0,贵州,2011
财神,all,2011-03-27,61,贵州,2011
财神,all,2011-03-28,59,贵州,2011
财神,all,2011-03-29,61,贵州,2011
财神,all,2011-03-30,57,贵州,2011
财神,all,2011-03-31,57,贵州,2011
财神,all,2011-04-01,0,贵州,2011
财神,all,2011-04-02,57,贵州,2011
财神,all,2011-04-03,0,贵州,2011
财神,all,2011-04-04,57,贵州,2011
财神,all,2011-04-05,57,贵州,2011
财神,all,2011-04-06,61,贵州,2011
财神,all,2011-04-07,61,贵州,2011
财神,all,2011-04-08,57,贵州,2011
财神,all,2011-04-09,59,贵州,2011
财神,all,2011-04-10,61,贵州,2011
财神,all,2011-04-11,61,贵州,2011
财神,all,2011-04-12,63,贵州,2011
财神,all,2011-04-13,59,贵州,2011
财神,all,2011-04-14,61,贵州,2011
财神,all,2011-04-15,57,贵州,2011
财神,all,2011-04-16,59,贵州,2011
财神,all,2011-04-17,63,贵州,2011
财神,all,2011-04-18,0,贵州,2011
财神,all,2011-04-19,59,贵州,2011
财神,all,2011-04-20,57,贵州,2011
财神,all,2011-04-21,63,贵州,2011
财神,all,2011-04-22,57,贵州,2011
财神,all,2011-04-23,59,贵州,2011
财神,all,2011-04-24,59,贵州,2011
财神,all,2011-04-25,66,贵州,2011
财神,all,2011-04-26,59,贵州,2011
财神,all,2011-04-27,59,贵州,2011
财神,all,2011-04-28,63,贵州,2011
财神,all,2011-04-29,61,贵州,2011
财神,all,2011-04-30,0,贵州,2011
财神,all,2011-05-01,64,贵州,2011
财神,all,2011-05-02,57,贵州,2011
财神,all,2011-05-03,61,贵州,2011
