keyword,type,date,index,province,year
财神,all,2011-01-01,66,陕西,2011
财神,all,2011-01-02,76,陕西,2011
财神,all,2011-01-03,72,陕西,2011
财神,all,2011-01-04,89,陕西,2011
财神,all,2011-01-05,72,陕西,2011
财神,all,2011-01-06,87,陕西,2011
财神,all,2011-01-07,82,陕西,2011
财神,all,2011-01-08,66,陕西,2011
财神,all,2011-01-09,76,陕西,2011
财神,all,2011-01-10,80,陕西,2011
财神,all,2011-01-11,85,陕西,2011
财神,all,2011-01-12,78,陕西,2011
财神,all,2011-01-13,68,陕西,2011
财神,all,2011-01-14,82,陕西,2011
财神,all,2011-01-15,66,陕西,2011
财神,all,2011-01-16,85,陕西,2011
财神,all,2011-01-17,87,陕西,2011
财神,all,2011-01-18,64,陕西,2011
财神,all,2011-01-19,80,陕西,2011
财神,all,2011-01-20,83,陕西,2011
财神,all,2011-01-21,74,陕西,2011
财神,all,2011-01-22,64,陕西,2011
财神,all,2011-01-23,76,陕西,2011
财神,all,2011-01-24,72,陕西,2011
财神,all,2011-01-25,66,陕西,2011
财神,all,2011-01-26,87,陕西,2011
财神,all,2011-01-27,85,陕西,2011
财神,all,2011-01-28,74,陕西,2011
财神,all,2011-01-29,83,陕西,2011
财神,all,2011-01-30,80,陕西,2011
财神,all,2011-01-31,95,陕西,2011
财神,all,2011-02-01,82,陕西,2011
财神,all,2011-02-02,108,陕西,2011
财神,all,2011-02-03,102,陕西,2011
财神,all,2011-02-04,91,陕西,2011
财神,all,2011-02-05,66,陕西,2011
财神,all,2011-02-06,104,陕西,2011
财神,all,2011-02-07,163,陕西,2011
财神,all,2011-02-08,114,陕西,2011
财神,all,2011-02-09,80,陕西,2011
财神,all,2011-02-10,82,陕西,2011
财神,all,2011-02-11,78,陕西,2011
财神,all,2011-02-12,82,陕西,2011
财神,all,2011-02-13,78,陕西,2011
财神,all,2011-02-14,82,陕西,2011
财神,all,2011-02-15,85,陕西,2011
财神,all,2011-02-16,93,陕西,2011
财神,all,2011-02-17,78,陕西,2011
财神,all,2011-02-18,68,陕西,2011
财神,all,2011-02-19,66,陕西,2011
财神,all,2011-02-20,70,陕西,2011
财神,all,2011-02-21,83,陕西,2011
财神,all,2011-02-22,74,陕西,2011
财神,all,2011-02-23,93,陕西,2011
财神,all,2011-02-24,72,陕西,2011
财神,all,2011-02-25,66,陕西,2011
财神,all,2011-02-26,66,陕西,2011
财神,all,2011-02-27,76,陕西,2011
财神,all,2011-02-28,82,陕西,2011
财神,all,2011-03-01,80,陕西,2011
财神,all,2011-03-02,72,陕西,2011
财神,all,2011-03-03,76,陕西,2011
财神,all,2011-03-04,70,陕西,2011
财神,all,2011-03-05,70,陕西,2011
财神,all,2011-03-06,64,陕西,2011
财神,all,2011-03-07,74,陕西,2011
财神,all,2011-03-08,72,陕西,2011
财神,all,2011-03-09,78,陕西,2011
财神,all,2011-03-10,64,陕西,2011
财神,all,2011-03-11,72,陕西,2011
财神,all,2011-03-12,74,陕西,2011
财神,all,2011-03-13,68,陕西,2011
财神,all,2011-03-14,68,陕西,2011
财神,all,2011-03-15,82,陕西,2011
财神,all,2011-03-16,70,陕西,2011
财神,all,2011-03-17,66,陕西,2011
财神,all,2011-03-18,82,陕西,2011
财神,all,2011-03-19,80,陕西,2011
财神,all,2011-03-20,66,陕西,2011
财神,all,2011-03-21,80,陕西,2011
财神,all,2011-03-22,68,陕西,2011
财神,all,2011-03-23,78,陕西,2011
财神,all,2011-03-24,66,陕西,2011
财神,all,2011-03-25,64,陕西,2011
财神,all,2011-03-26,70,陕西,2011
财神,all,2011-03-27,66,陕西,2011
财神,all,2011-03-28,76,陕西,2011
财神,all,2011-03-29,83,陕西,2011
财神,all,2011-03-30,97,陕西,2011
财神,all,2011-03-31,70,陕西,2011
财神,all,2011-04-01,83,陕西,2011
财神,all,2011-04-02,78,陕西,2011
财神,all,2011-04-03,66,陕西,2011
财神,all,2011-04-04,72,陕西,2011
财神,all,2011-04-05,91,陕西,2011
财神,all,2011-04-06,70,陕西,2011
财神,all,2011-04-07,76,陕西,2011
财神,all,2011-04-08,82,陕西,2011
财神,all,2011-04-09,74,陕西,2011
财神,all,2011-04-10,74,陕西,2011
财神,all,2011-04-11,76,陕西,2011
财神,all,2011-04-12,64,陕西,2011
财神,all,2011-04-13,78,陕西,2011
财神,all,2011-04-14,83,陕西,2011
财神,all,2011-04-15,97,陕西,2011
财神,all,2011-04-16,70,陕西,2011
财神,all,2011-04-17,78,陕西,2011
财神,all,2011-04-18,66,陕西,2011
财神,all,2011-04-19,87,陕西,2011
财神,all,2011-04-20,95,陕西,2011
财神,all,2011-04-21,93,陕西,2011
财神,all,2011-04-22,72,陕西,2011
财神,all,2011-04-23,68,陕西,2011
财神,all,2011-04-24,70,陕西,2011
财神,all,2011-04-25,78,陕西,2011
财神,all,2011-04-26,64,陕西,2011
财神,all,2011-04-27,80,陕西,2011
财神,all,2011-04-28,72,陕西,2011
财神,all,2011-04-29,72,陕西,2011
财神,all,2011-04-30,68,陕西,2011
财神,all,2011-05-01,66,陕西,2011
财神,all,2011-05-02,68,陕西,2011
财神,all,2011-05-03,76,陕西,2011
财神,all,2011-05-04,66,陕西,2011
财神,all,2011-05-05,80,陕西,2011
财神,all,2011-05-06,74,陕西,2011
财神,all,2011-05-07,76,陕西,2011
财神,all,2011-05-08,74,陕西,2011
财神,all,2011-05-09,74,陕西,2011
财神,all,2011-05-10,80,陕西,2011
财神,all,2011-05-11,89,陕西,2011
财神,all,2011-05-12,80,陕西,2011
财神,all,2011-05-13,85,陕西,2011
财神,all,2011-05-14,72,陕西,2011
财神,all,2011-05-15,64,陕西,2011
财神,all,2011-05-16,72,陕西,2011
财神,all,2011-05-17,83,陕西,2011
财神,all,2011-05-18,78,陕西,2011
财神,all,2011-05-19,78,陕西,2011
财神,all,2011-05-20,74,陕西,2011
财神,all,2011-05-21,66,陕西,2011
财神,all,2011-05-22,70,陕西,2011
财神,all,2011-05-23,83,陕西,2011
财神,all,2011-05-24,95,陕西,2011
财神,all,2011-05-25,78,陕西,2011
财神,all,2011-05-26,80,陕西,2011
财神,all,2011-05-27,87,陕西,2011
财神,all,2011-05-28,70,陕西,2011
财神,all,2011-05-29,80,陕西,2011
财神,all,2011-05-30,89,陕西,2011
财神,all,2011-05-31,82,陕西,2011
财神,all,2011-06-01,80,陕西,2011
财神,all,2011-06-02,74,陕西,2011
财神,all,2011-06-03,70,陕西,2011
财神,all,2011-06-04,63,陕西,2011
财神,all,2011-06-05,64,陕西,2011
财神,all,2011-06-06,83,陕西,2011
财神,all,2011-06-07,83,陕西,2011
财神,all,2011-06-08,83,陕西,2011
财神,all,2011-06-09,64,陕西,2011
财神,all,2011-06-10,66,陕西,2011
财神,all,2011-06-11,78,陕西,2011
财神,all,2011-06-12,66,陕西,2011
财神,all,2011-06-13,78,陕西,2011
财神,all,2011-06-14,89,陕西,2011
财神,all,2011-06-15,80,陕西,2011
财神,all,2011-06-16,82,陕西,2011
财神,all,2011-06-17,87,陕西,2011
财神,all,2011-06-18,76,陕西,2011
财神,all,2011-06-19,66,陕西,2011
财神,all,2011-06-20,80,陕西,2011
财神,all,2011-06-21,89,陕西,2011
财神,all,2011-06-22,70,陕西,2011
财神,all,2011-06-23,76,陕西,2011
财神,all,2011-06-24,76,陕西,2011
财神,all,2011-06-25,72,陕西,2011
财神,all,2011-06-26,83,陕西,2011
财神,all,2011-06-27,82,陕西,2011
财神,all,2011-06-28,89,陕西,2011
财神,all,2011-06-29,72,陕西,2011
财神,all,2011-06-30,78,陕西,2011
财神,all,2011-07-01,102,陕西,2011
财神,all,2011-07-02,91,陕西,2011
财神,all,2011-07-03,82,陕西,2011
财神,all,2011-07-04,83,陕西,2011
财神,all,2011-07-05,102,陕西,2011
财神,all,2011-07-06,123,陕西,2011
财神,all,2011-07-07,91,陕西,2011
财神,all,2011-07-08,97,陕西,2011
财神,all,2011-07-09,91,陕西,2011
财神,all,2011-07-10,80,陕西,2011
财神,all,2011-07-11,72,陕西,2011
财神,all,2011-07-12,80,陕西,2011
财神,all,2011-07-13,80,陕西,2011
财神,all,2011-07-14,91,陕西,2011
财神,all,2011-07-15,95,陕西,2011
财神,all,2011-07-16,83,陕西,2011
财神,all,2011-07-17,114,陕西,2011
财神,all,2011-07-18,163,陕西,2011
财神,all,2011-07-19,191,陕西,2011
财神,all,2011-07-20,148,陕西,2011
财神,all,2011-07-21,101,陕西,2011
财神,all,2011-07-22,102,陕西,2011
财神,all,2011-07-23,104,陕西,2011
财神,all,2011-07-24,89,陕西,2011
财神,all,2011-07-25,106,陕西,2011
财神,all,2011-07-26,102,陕西,2011
财神,all,2011-07-27,91,陕西,2011
财神,all,2011-07-28,87,陕西,2011
财神,all,2011-07-29,85,陕西,2011
财神,all,2011-07-30,95,陕西,2011
财神,all,2011-07-31,85,陕西,2011
财神,all,2011-08-01,95,陕西,2011
财神,all,2011-08-02,82,陕西,2011
财神,all,2011-08-03,82,陕西,2011
财神,all,2011-08-04,82,陕西,2011
财神,all,2011-08-05,80,陕西,2011
财神,all,2011-08-06,78,陕西,2011
财神,all,2011-08-07,78,陕西,2011
财神,all,2011-08-08,85,陕西,2011
财神,all,2011-08-09,80,陕西,2011
财神,all,2011-08-10,76,陕西,2011
财神,all,2011-08-11,83,陕西,2011
财神,all,2011-08-12,82,陕西,2011
财神,all,2011-08-13,89,陕西,2011
财神,all,2011-08-14,87,陕西,2011
财神,all,2011-08-15,76,陕西,2011
财神,all,2011-08-16,85,陕西,2011
财神,all,2011-08-17,85,陕西,2011
财神,all,2011-08-18,97,陕西,2011
财神,all,2011-08-19,76,陕西,2011
财神,all,2011-08-20,97,陕西,2011
财神,all,2011-08-21,82,陕西,2011
财神,all,2011-08-22,108,陕西,2011
财神,all,2011-08-23,82,陕西,2011
财神,all,2011-08-24,83,陕西,2011
财神,all,2011-08-25,87,陕西,2011
财神,all,2011-08-26,83,陕西,2011
财神,all,2011-08-27,72,陕西,2011
财神,all,2011-08-28,76,陕西,2011
财神,all,2011-08-29,89,陕西,2011
财神,all,2011-08-30,78,陕西,2011
财神,all,2011-08-31,83,陕西,2011
财神,all,2011-09-01,83,陕西,2011
财神,all,2011-09-02,82,陕西,2011
财神,all,2011-09-03,85,陕西,2011
财神,all,2011-09-04,74,陕西,2011
财神,all,2011-09-05,72,陕西,2011
财神,all,2011-09-06,76,陕西,2011
财神,all,2011-09-07,64,陕西,2011
财神,all,2011-09-08,80,陕西,2011
财神,all,2011-09-09,70,陕西,2011
财神,all,2011-09-10,66,陕西,2011
财神,all,2011-09-11,72,陕西,2011
财神,all,2011-09-12,70,陕西,2011
财神,all,2011-09-13,76,陕西,2011
财神,all,2011-09-14,76,陕西,2011
财神,all,2011-09-15,80,陕西,2011
财神,all,2011-09-16,72,陕西,2011
财神,all,2011-09-17,66,陕西,2011
财神,all,2011-09-18,74,陕西,2011
财神,all,2011-09-19,70,陕西,2011
财神,all,2011-09-20,72,陕西,2011
财神,all,2011-09-21,72,陕西,2011
财神,all,2011-09-22,74,陕西,2011
财神,all,2011-09-23,85,陕西,2011
财神,all,2011-09-24,74,陕西,2011
财神,all,2011-09-25,68,陕西,2011
财神,all,2011-09-26,83,陕西,2011
财神,all,2011-09-27,82,陕西,2011
财神,all,2011-09-28,91,陕西,2011
财神,all,2011-09-29,80,陕西,2011
财神,all,2011-09-30,87,陕西,2011
财神,all,2011-10-01,70,陕西,2011
财神,all,2011-10-02,72,陕西,2011
财神,all,2011-10-03,85,陕西,2011
财神,all,2011-10-04,89,陕西,2011
财神,all,2011-10-05,87,陕西,2011
财神,all,2011-10-06,76,陕西,2011
财神,all,2011-10-07,83,陕西,2011
财神,all,2011-10-08,97,陕西,2011
财神,all,2011-10-09,74,陕西,2011
财神,all,2011-10-10,85,陕西,2011
财神,all,2011-10-11,80,陕西,2011
财神,all,2011-10-12,78,陕西,2011
财神,all,2011-10-13,68,陕西,2011
财神,all,2011-10-14,85,陕西,2011
财神,all,2011-10-15,76,陕西,2011
财神,all,2011-10-16,76,陕西,2011
财神,all,2011-10-17,68,陕西,2011
财神,all,2011-10-18,68,陕西,2011
财神,all,2011-10-19,72,陕西,2011
财神,all,2011-10-20,82,陕西,2011
财神,all,2011-10-21,72,陕西,2011
财神,all,2011-10-22,78,陕西,2011
财神,all,2011-10-23,63,陕西,2011
财神,all,2011-10-24,76,陕西,2011
财神,all,2011-10-25,82,陕西,2011
财神,all,2011-10-26,72,陕西,2011
财神,all,2011-10-27,78,陕西,2011
财神,all,2011-10-28,68,陕西,2011
财神,pc,2011-01-01,66,陕西,2011
财神,pc,2011-01-02,76,陕西,2011
财神,pc,2011-01-03,72,陕西,2011
财神,pc,2011-01-04,89,陕西,2011
财神,pc,2011-01-05,72,陕西,2011
财神,pc,2011-01-06,87,陕西,2011
财神,pc,2011-01-07,82,陕西,2011
财神,pc,2011-01-08,66,陕西,2011
财神,pc,2011-01-09,76,陕西,2011
财神,pc,2011-01-10,80,陕西,2011
财神,pc,2011-01-11,85,陕西,2011
财神,pc,2011-01-12,78,陕西,2011
财神,pc,2011-01-13,68,陕西,2011
财神,pc,2011-01-14,82,陕西,2011
财神,pc,2011-01-15,66,陕西,2011
财神,pc,2011-01-16,85,陕西,2011
财神,pc,2011-01-17,87,陕西,2011
财神,pc,2011-01-18,64,陕西,2011
财神,pc,2011-01-19,80,陕西,2011
财神,pc,2011-01-20,83,陕西,2011
财神,pc,2011-01-21,74,陕西,2011
财神,pc,2011-01-22,64,陕西,2011
财神,pc,2011-01-23,76,陕西,2011
财神,pc,2011-01-24,72,陕西,2011
财神,pc,2011-01-25,66,陕西,2011
财神,pc,2011-01-26,87,陕西,2011
财神,pc,2011-01-27,85,陕西,2011
财神,pc,2011-01-28,74,陕西,2011
财神,pc,2011-01-29,83,陕西,2011
财神,pc,2011-01-30,80,陕西,2011
财神,pc,2011-01-31,95,陕西,2011
财神,pc,2011-02-01,82,陕西,2011
财神,pc,2011-02-02,108,陕西,2011
财神,pc,2011-02-03,102,陕西,2011
财神,pc,2011-02-04,91,陕西,2011
财神,pc,2011-02-05,66,陕西,2011
财神,pc,2011-02-06,104,陕西,2011
财神,pc,2011-02-07,163,陕西,2011
财神,pc,2011-02-08,114,陕西,2011
财神,pc,2011-02-09,80,陕西,2011
财神,pc,2011-02-10,82,陕西,2011
财神,pc,2011-02-11,78,陕西,2011
财神,pc,2011-02-12,82,陕西,2011
财神,pc,2011-02-13,78,陕西,2011
财神,pc,2011-02-14,82,陕西,2011
财神,pc,2011-02-15,85,陕西,2011
财神,pc,2011-02-16,93,陕西,2011
财神,pc,2011-02-17,78,陕西,2011
财神,pc,2011-02-18,68,陕西,2011
财神,pc,2011-02-19,66,陕西,2011
财神,pc,2011-02-20,70,陕西,2011
财神,pc,2011-02-21,83,陕西,2011
财神,pc,2011-02-22,74,陕西,2011
财神,pc,2011-02-23,93,陕西,2011
财神,pc,2011-02-24,72,陕西,2011
财神,pc,2011-02-25,66,陕西,2011
财神,pc,2011-02-26,66,陕西,2011
财神,pc,2011-02-27,76,陕西,2011
财神,pc,2011-02-28,82,陕西,2011
财神,pc,2011-03-01,80,陕西,2011
财神,pc,2011-03-02,72,陕西,2011
财神,pc,2011-03-03,76,陕西,2011
财神,pc,2011-03-04,70,陕西,2011
财神,pc,2011-03-05,70,陕西,2011
财神,pc,2011-03-06,64,陕西,2011
财神,pc,2011-03-07,74,陕西,2011
财神,pc,2011-03-08,72,陕西,2011
财神,pc,2011-03-09,78,陕西,2011
财神,pc,2011-03-10,64,陕西,2011
财神,pc,2011-03-11,72,陕西,2011
财神,pc,2011-03-12,74,陕西,2011
财神,pc,2011-03-13,68,陕西,2011
财神,pc,2011-03-14,68,陕西,2011
财神,pc,2011-03-15,82,陕西,2011
财神,pc,2011-03-16,70,陕西,2011
财神,pc,2011-03-17,66,陕西,2011
财神,pc,2011-03-18,82,陕西,2011
财神,pc,2011-03-19,80,陕西,2011
财神,pc,2011-03-20,66,陕西,2011
财神,pc,2011-03-21,80,陕西,2011
财神,pc,2011-03-22,68,陕西,2011
财神,pc,2011-03-23,78,陕西,2011
财神,pc,2011-03-24,66,陕西,2011
财神,pc,2011-03-25,64,陕西,2011
财神,pc,2011-03-26,70,陕西,2011
财神,pc,2011-03-27,66,陕西,2011
财神,pc,2011-03-28,76,陕西,2011
财神,pc,2011-03-29,83,陕西,2011
财神,pc,2011-03-30,97,陕西,2011
财神,pc,2011-03-31,70,陕西,2011
财神,pc,2011-04-01,83,陕西,2011
财神,pc,2011-04-02,78,陕西,2011
财神,pc,2011-04-03,66,陕西,2011
财神,pc,2011-04-04,72,陕西,2011
财神,pc,2011-04-05,91,陕西,2011
财神,pc,2011-04-06,70,陕西,2011
财神,pc,2011-04-07,76,陕西,2011
财神,pc,2011-04-08,82,陕西,2011
财神,pc,2011-04-09,74,陕西,2011
财神,pc,2011-04-10,74,陕西,2011
财神,pc,2011-04-11,76,陕西,2011
财神,pc,2011-04-12,64,陕西,2011
财神,pc,2011-04-13,78,陕西,2011
财神,pc,2011-04-14,83,陕西,2011
财神,pc,2011-04-15,97,陕西,2011
财神,pc,2011-04-16,70,陕西,2011
财神,pc,2011-04-17,78,陕西,2011
财神,pc,2011-04-18,66,陕西,2011
财神,pc,2011-04-19,87,陕西,2011
财神,pc,2011-04-20,95,陕西,2011
财神,pc,2011-04-21,93,陕西,2011
财神,pc,2011-04-22,72,陕西,2011
财神,pc,2011-04-23,68,陕西,2011
财神,pc,2011-04-24,70,陕西,2011
财神,pc,2011-04-25,78,陕西,2011
财神,pc,2011-04-26,64,陕西,2011
财神,pc,2011-04-27,80,陕西,2011
财神,pc,2011-04-28,72,陕西,2011
财神,pc,2011-04-29,72,陕西,2011
财神,pc,2011-04-30,68,陕西,2011
财神,pc,2011-05-01,66,陕西,2011
财神,pc,2011-05-02,68,陕西,2011
财神,pc,2011-05-03,76,陕西,2011
财神,pc,2011-05-04,66,陕西,2011
财神,pc,2011-05-05,80,陕西,2011
财神,pc,2011-05-06,74,陕西,2011
财神,pc,2011-05-07,76,陕西,2011
财神,pc,2011-05-08,74,陕西,2011
财神,pc,2011-05-09,74,陕西,2011
财神,pc,2011-05-10,80,陕西,2011
财神,pc,2011-05-11,89,陕西,2011
财神,pc,2011-05-12,80,陕西,2011
财神,pc,2011-05-13,85,陕西,2011
财神,pc,2011-05-14,72,陕西,2011
财神,pc,2011-05-15,64,陕西,2011
财神,pc,2011-05-16,72,陕西,2011
财神,pc,2011-05-17,83,陕西,2011
财神,pc,2011-05-18,78,陕西,2011
