keyword,type,date,index,province,year
财神,all,2011-01-01,87,黑龙江,2011
财神,all,2011-01-02,83,黑龙江,2011
财神,all,2011-01-03,82,黑龙江,2011
财神,all,2011-01-04,82,黑龙江,2011
财神,all,2011-01-05,74,黑龙江,2011
财神,all,2011-01-06,87,黑龙江,2011
财神,all,2011-01-07,87,黑龙江,2011
财神,all,2011-01-08,66,黑龙江,2011
财神,all,2011-01-09,85,黑龙江,2011
财神,all,2011-01-10,82,黑龙江,2011
财神,all,2011-01-11,95,黑龙江,2011
财神,all,2011-01-12,87,黑龙江,2011
财神,all,2011-01-13,76,黑龙江,2011
财神,all,2011-01-14,91,黑龙江,2011
财神,all,2011-01-15,78,黑龙江,2011
财神,all,2011-01-16,82,黑龙江,2011
财神,all,2011-01-17,82,黑龙江,2011
财神,all,2011-01-18,83,黑龙江,2011
财神,all,2011-01-19,72,黑龙江,2011
财神,all,2011-01-20,76,黑龙江,2011
财神,all,2011-01-21,80,黑龙江,2011
财神,all,2011-01-22,101,黑龙江,2011
财神,all,2011-01-23,89,黑龙江,2011
财神,all,2011-01-24,91,黑龙江,2011
财神,all,2011-01-25,89,黑龙江,2011
财神,all,2011-01-26,110,黑龙江,2011
财神,all,2011-01-27,112,黑龙江,2011
财神,all,2011-01-28,104,黑龙江,2011
财神,all,2011-01-29,102,黑龙江,2011
财神,all,2011-01-30,97,黑龙江,2011
财神,all,2011-01-31,102,黑龙江,2011
财神,all,2011-02-01,148,黑龙江,2011
财神,all,2011-02-02,151,黑龙江,2011
财神,all,2011-02-03,91,黑龙江,2011
财神,all,2011-02-04,91,黑龙江,2011
财神,all,2011-02-05,108,黑龙江,2011
财神,all,2011-02-06,118,黑龙江,2011
财神,all,2011-02-07,135,黑龙江,2011
财神,all,2011-02-08,102,黑龙江,2011
财神,all,2011-02-09,85,黑龙江,2011
财神,all,2011-02-10,95,黑龙江,2011
财神,all,2011-02-11,89,黑龙江,2011
财神,all,2011-02-12,76,黑龙江,2011
财神,all,2011-02-13,80,黑龙江,2011
财神,all,2011-02-14,99,黑龙江,2011
财神,all,2011-02-15,89,黑龙江,2011
财神,all,2011-02-16,83,黑龙江,2011
财神,all,2011-02-17,72,黑龙江,2011
财神,all,2011-02-18,70,黑龙江,2011
财神,all,2011-02-19,72,黑龙江,2011
